Can Animal that is also Backbone be considered a subcategory of 'Carnivore'?, \nFalse
Animal SubClassOf Carnivore and Cat and Egg and Herbivore and Mammal and Reptile and Vertebrate and (has_part some Vertebrate), \nTrue
Animal SubClassOf Bird and Carnivore and Cat and Egg and Herbivore and Mammal and Reptile and Vertebrate and (has_part some Vertebrate), \nTrue
Animal SubClassOf Bird and Carnivore and Cat and Egg and Herbivore and Mammal and Reptile and Vertebrate and (has_part some (Carnivore and Vertebrate)), \nTrue
Animal SubClassOf Bird and Carnivore and Cat and Egg and Herbivore and Mammal and Reptile and Vertebrate and (has_part some (Animal and Carnivore and Vertebrate)), \nThe
Animal SubClassOf Bird and Carnivore and Cat and Egg and Herbivore and Mammal and Reptile and Vertebrate and (has_part some (Carnivore and Reptile and Vertebrate)), \nTrue
Animal SubClassOf Bird and Carnivore and Cat and Egg and Herbivore and Mammal and Reptile and Vertebrate and (has_part some (Carnivore and Cat and Reptile and Vertebrate)), \nTrue
Animal SubClassOf Bird and Carnivore and Cat and Egg and Herbivore and Mammal and Reptile and Vertebrate and (has_part some (Carnivore and Cat and Mammal and Reptile and Vertebrate)), \nTrue
Animal SubClassOf Bird and Carnivore and Cat and Egg and Herbivore and Mammal and Reptile and Vertebrate and (has_part some (Carnivore and Cat and Herbivore and Mammal and Reptile and Vertebrate)), \nTrue
Animal SubClassOf Bird and Carnivore and Cat and Egg and Herbivore and Mammal and Reptile and Vertebrate and (has_part some (Bird and Carnivore and Cat and Herbivore and Mammal and Reptile and Vertebrate)), \nTrue
Bird and Carnivore and Cat and Egg and Herbivore and Mammal and Meat and Reptile and Vertebrate and (has_part some (Bird and Carnivore and Cat and Herbivore and Mammal and Reptile and Vertebrate)) SubClassOf Bird and Carnivore and Cat and Egg and Herbivore and Mammal and Meat and Reptile and Vertebrate and (has_part some (Bird and Carnivore and Cat and Herbivore and Mammal and Reptile and Vertebrate)), \nThe
Bird and Carnivore and Cat and Egg and Herbivore and Mammal and Meat and Reptile and Vertebrate and Thing and (has_part some (Bird and Carnivore and Cat and Herbivore and Mammal and Reptile and Vertebrate)) SubClassOf Bird and Carnivore and Cat and Egg and Herbivore and Mammal and Meat and Reptile and Vertebrate and Thing and (has_part some (Bird and Carnivore and Cat and Herbivore and Mammal and Reptile and Vertebrate)), \nFalse
Animal SubClassOf Bird and Carnivore and Cat and Egg and Herbivore and Mammal and Meat and Reptile and Vertebrate and Thing and (has_part some (Animal and Bird and Carnivore and Cat and Herbivore and Mammal and Reptile and Vertebrate)), \nTrue
Bird and Carnivore and Cat and Egg and Herbivore and Mammal and Meat and Reptile and Vertebrate and Water and Thing and (has_part some (Animal and Bird and Carnivore and Cat and Herbivore and Mammal and Reptile and Vertebrate)) SubClassOf Bird and Carnivore and Cat and Egg and Herbivore and Mammal and Meat and Reptile and Vertebrate and Water and Thing and (has_part some (Animal and Bird and Carnivore and Cat and Herbivore and Mammal and Reptile and Vertebrate)), \nTrue
Wing SubClassOf lays some Herbivore, \nFalse
Carnivore SubClassOf lays some Plant, \nFalse
Wing SubClassOf lays some Wing, \nFalse
Cat SubClassOf eats some Egg, True
Cat SubClassOf Leg, False
Cat SubClassOf Elephant, \nFalse
Egg SubClassOf eats some Egg, \nFalse
Meat SubClassOf eats some Egg, False
Carnivore SubClassOf eats some Egg, \nTrue
Egg and (eats some Egg) SubClassOf Egg and (eats some Egg), \nFalse
Carnivore SubClassOf Carnivore, \nTrue
Reptile SubClassOf Carnivore, \nTrue
Vertebrate SubClassOf Carnivore, \nTrue
Cat SubClassOf Carnivore, True
Mammal SubClassOf Carnivore, True
Wing SubClassOf Carnivore, \nTrue
Carnivore SubClassOf Egg and Meat and (eats some Egg), \nTrue
Carnivore SubClassOf Animal and Egg and Meat and (eats some Egg), \nTrue
Carnivore SubClassOf Animal and Egg and Meat and Reptile and (eats some Egg), \nTrue
Carnivore SubClassOf Animal and Egg and Meat and Reptile and Vertebrate and (eats some Egg), \nTrue
Carnivore SubClassOf Animal and Cat and Egg and Meat and Reptile and Vertebrate and (eats some Egg), \nTrue
Carnivore SubClassOf Animal and Cat and Egg and Mammal and Meat and Reptile and Vertebrate and (eats some Egg), \nTrue
Carnivore SubClassOf Animal and Backbone and Cat and Egg and Mammal and Meat and Reptile and Vertebrate and (eats some Egg), \nTrue
Carnivore SubClassOf Animal and Backbone and Cat and Egg and Mammal and Meat and Reptile and Vertebrate and Wing and (eats some Egg), \nHere
Carnivore SubClassOf Animal and Backbone and Cat and Egg and Mammal and Meat and Reptile and Vertebrate and (eats some (Egg and Meat)), \nTrue
Carnivore SubClassOf Animal and Backbone and Cat and Egg and Mammal and Meat and Reptile and Vertebrate and (eats some (Carnivore and Egg and Meat)), \nTrue
Carnivore SubClassOf Animal and Backbone and Cat and Egg and Mammal and Meat and Reptile and Vertebrate and (eats some (Animal and Carnivore and Egg and Meat)), \nTrue
Carnivore SubClassOf Animal and Backbone and Cat and Egg and Mammal and Meat and Reptile and Vertebrate and (eats some (Animal and Carnivore and Egg and Meat and Reptile)), \nTrue
Carnivore SubClassOf Animal and Backbone and Cat and Egg and Mammal and Meat and Reptile and Vertebrate and (eats some (Animal and Carnivore and Egg and Meat and Reptile and Vertebrate)), \nTrue
Carnivore SubClassOf Animal and Backbone and Cat and Egg and Mammal and Meat and Reptile and Vertebrate and (eats some (Animal and Carnivore and Cat and Egg and Meat and Reptile and Vertebrate)), \nThe
Carnivore SubClassOf Animal and Backbone and Cat and Egg and Mammal and Meat and Reptile and Vertebrate and (eats some (Animal and Carnivore and Egg and Mammal and Meat and Reptile and Vertebrate)), \nTrue
Carnivore SubClassOf Animal and Backbone and Cat and Egg and Mammal and Meat and Reptile and Vertebrate and (eats some (Animal and Backbone and Carnivore and Egg and Mammal and Meat and Reptile and Vertebrate)), \nTrue
Carnivore SubClassOf Animal and Backbone and Cat and Egg and Mammal and Meat and Reptile and Vertebrate and (eats some (Animal and Backbone and Carnivore and Egg and Mammal and Meat and Reptile and Vertebrate and Wing)), \nTrue
Animal and Backbone and Cat and Egg and Mammal and Meat and Reptile and Vertebrate and Thing and (eats some (Animal and Backbone and Carnivore and Egg and Mammal and Meat and Reptile and Vertebrate and Wing)) SubClassOf Animal and Backbone and Cat and Egg and Mammal and Meat and Reptile and Vertebrate and Thing and (eats some (Animal and Backbone and Carnivore and Egg and Mammal and Meat and Reptile and Vertebrate and Wing)), \nHere
Animal and Backbone and Carnivore and Cat and Egg and Mammal and Meat and Reptile and Vertebrate and Thing and (eats some (Animal and Backbone and Carnivore and Egg and Mammal and Meat and Reptile and Vertebrate and Wing)) SubClassOf Animal and Backbone and Carnivore and Cat and Egg and Mammal and Meat and Reptile and Vertebrate and Thing and (eats some (Animal and Backbone and Carnivore and Egg and Mammal and Meat and Reptile and Vertebrate and Wing)), \nThe
Carnivore SubClassOf Animal and Backbone and Carnivore and Cat and Egg and Mammal and Meat and Reptile and Vertebrate and Wing and Thing and (eats some (Animal and Backbone and Carnivore and Egg and Mammal and Meat and Reptile and Vertebrate and Wing)), \nTrue
Carnivore SubClassOf Animal and Backbone and Carnivore and Cat and Egg and Mammal and Meat and Reptile and Vertebrate and Wing and Thing and (eats some (Animal and Backbone and Carnivore and Cat and Egg and Mammal and Meat and Reptile and Vertebrate and Wing)), \nFalse
Animal and Backbone and Carnivore and Cat and Egg and Mammal and Meat and Reptile and Vertebrate and Water and Wing and Thing and (eats some (Animal and Backbone and Carnivore and Egg and Mammal and Meat and Reptile and Vertebrate and Wing)) SubClassOf Animal and Backbone and Carnivore and Cat and Egg and Mammal and Meat and Reptile and Vertebrate and Water and Wing and Thing and (eats some (Animal and Backbone and Carnivore and Egg and Mammal and Meat and Reptile and Vertebrate and Wing)), \nTrue
lays some Cat SubClassOf Elephant, False.
Animal and Egg SubClassOf Elephant, \nFalse
Animal and Wing SubClassOf Leg, \nTrue
Wing SubClassOf Leg, \nFalse
Egg and Fish SubClassOf Elephant, \nFalse
has_part some Vertebrate SubClassOf Elephant, \nTrue
Vertebrate SubClassOf Elephant, \nFalse
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing SubClassOf Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing and (has_part some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing)), \nThe
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing SubClassOf Elephant, \nHere
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing and (has_part some Animal) and (has_part some (Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing)) SubClassOf Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing and (has_part some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing)), \nHere
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing and (has_part some Animal) and (has_part some (Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing)) SubClassOf Elephant, \nFalse
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing and (has_part some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing)) SubClassOf Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing and (has_part some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing)), \nFalse
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing and (has_part some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing)) SubClassOf Elephant, \nFalse
Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing and (has_part some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing)) SubClassOf Elephant, \nThe
Animal and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing and (has_part some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing)) SubClassOf Elephant, \nFalse
Animal and Backbone and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing and (has_part some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing)) SubClassOf Elephant, \nFalse
Animal and Backbone and Bird and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing and (has_part some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing)) SubClassOf Elephant, \nFalse
Animal and Backbone and Bird and Carnivore and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing and (has_part some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing)) SubClassOf Elephant, \nFalse
Animal and Backbone and Bird and Carnivore and Cat and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing and (has_part some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing)) SubClassOf Elephant, \nFalse
Animal and Backbone and Bird and Carnivore and Cat and Egg and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing and (has_part some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing)) SubClassOf Elephant, \nFalse
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing and (has_part some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing)) SubClassOf Elephant, \nTrue
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing and (has_part some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing)) SubClassOf Elephant, \nThe
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Leg and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing and (has_part some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing)) SubClassOf Elephant, \nFalse
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Leg and Mammal and Plant and Reptile and Vertebrate and Water and Wing and Thing and (has_part some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing)) SubClassOf Elephant, \nFalse
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Leg and Mammal and Meat and Reptile and Vertebrate and Water and Wing and Thing and (has_part some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing)) SubClassOf Elephant, \nFalse
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Leg and Mammal and Meat and Plant and Vertebrate and Water and Wing and Thing and (has_part some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing)) SubClassOf Elephant, \nFalse
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Leg and Mammal and Meat and Plant and Reptile and Water and Wing and Thing and (has_part some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing)) SubClassOf Elephant, \nFalse
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Wing and Thing and (has_part some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing)) SubClassOf Elephant, \nFalse
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing and (has_part some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing)) SubClassOf Elephant, \nFalse
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing and (has_part some (Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing)) SubClassOf Elephant, \nFalse
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing and (has_part some (Animal and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing)) SubClassOf Elephant, \nFalse
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing and (has_part some (Animal and Backbone and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing)) SubClassOf Elephant, \nFalse
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing and (has_part some (Animal and Backbone and Bird and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing)) SubClassOf Elephant, \nFalse
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing and (has_part some (Animal and Backbone and Bird and Carnivore and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing)) SubClassOf Elephant, \nFalse
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing and (has_part some (Animal and Backbone and Bird and Carnivore and Cat and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing)) SubClassOf Elephant, \nThe
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing and (has_part some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing)) SubClassOf Elephant, \nFalse
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing and (has_part some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing)) SubClassOf Elephant, \nThe
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing and (has_part some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing)) SubClassOf Elephant, \nThe
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing and (has_part some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing)) SubClassOf Elephant, \nFalse
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing and (has_part some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Plant and Reptile and Vertebrate and Water and Wing and Thing)) SubClassOf Elephant, \nFalse
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing and (has_part some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Reptile and Vertebrate and Water and Wing and Thing)) SubClassOf Elephant, \nFalse
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing and (has_part some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Vertebrate and Water and Wing and Thing)) SubClassOf Elephant, \nFalse
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing and (has_part some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Water and Wing and Thing)) SubClassOf Elephant, \nThe
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing and (has_part some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Wing and Thing)) SubClassOf Elephant, \nFalse
Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing and Thing and (has_part some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Thing)) SubClassOf Elephant, \nFalse
Cat SubClassOf lives_in some Bird, False.
Leg SubClassOf lays some Reptile, \nTrue
Egg SubClassOf lays some Reptile, \nFalse
Meat SubClassOf lays some Reptile, False
Carnivore SubClassOf lays some Reptile, \nFalse
Water SubClassOf lays some Reptile, \nFalse
Animal SubClassOf lays some Reptile, \nFalse
Reptile SubClassOf lays some Reptile, \nFalse
Plant SubClassOf lays some Reptile, \nFalse
Vertebrate SubClassOf lays some Reptile, \nTrue
Egg and (lays some Reptile) SubClassOf Egg and (lays some Reptile), \nTrue
Vertebrate SubClassOf Meat, \nFalse
Vertebrate SubClassOf Carnivore and Egg and (lays some Reptile), \nThe
Vertebrate SubClassOf Water, False.
Vertebrate SubClassOf Animal and Egg and (lays some Reptile), \nFalse
Vertebrate SubClassOf Reptile, \nTrue
Vertebrate SubClassOf Egg and Reptile and (lays some Reptile), \nThe
Vertebrate SubClassOf Plant, \nFalse
Vertebrate SubClassOf Cat, \nFalse
Vertebrate SubClassOf Fish, \nTrue
Vertebrate SubClassOf Egg and Fish and (lays some Reptile), \nTrue
Vertebrate SubClassOf Mammal, \nTrue
Vertebrate SubClassOf Egg and Fish and Mammal and (lays some Reptile), \nFalse
Vertebrate SubClassOf Herbivore, \nFalse
Vertebrate SubClassOf Bird, \nTrue
Vertebrate SubClassOf Bird and Egg and Fish and (lays some Reptile), \nFalse
Vertebrate SubClassOf Backbone, \nTrue
Vertebrate SubClassOf Backbone and Egg and Fish and (lays some Reptile), \nFalse
Vertebrate SubClassOf Wing, \nFalse
Vertebrate SubClassOf Egg, \nFalse
Vertebrate SubClassOf Egg and Fish and (lays some (Carnivore and Reptile)), \nTrue
Vertebrate SubClassOf Egg and Fish and (lays some (Animal and Carnivore and Reptile)), \nTrue
Vertebrate SubClassOf Vertebrate, \nTrue
Vertebrate SubClassOf Egg and Fish and (lays some (Animal and Carnivore and Reptile and Vertebrate)), \nTrue
Vertebrate SubClassOf Egg and Fish and (lays some (Animal and Carnivore and Fish and Reptile and Vertebrate)), \nTrue
Vertebrate SubClassOf Egg and Fish and (lays some (Animal and Carnivore and Fish and Mammal and Reptile and Vertebrate)), \nTrue
Vertebrate SubClassOf Egg and Fish and (lays some (Animal and Bird and Carnivore and Fish and Mammal and Reptile and Vertebrate)), \nTrue
Vertebrate SubClassOf Egg and Fish and (lays some (Animal and Backbone and Bird and Carnivore and Fish and Mammal and Reptile and Vertebrate)), \nFalse
Egg and Fish and Meat and (lays some (Animal and Bird and Carnivore and Fish and Mammal and Reptile and Vertebrate)) SubClassOf Egg and Fish and Meat and (lays some (Animal and Bird and Carnivore and Fish and Mammal and Reptile and Vertebrate)), \nTrue
Egg and Fish and Meat and Thing and (lays some (Animal and Bird and Carnivore and Fish and Mammal and Reptile and Vertebrate)) SubClassOf Egg and Fish and Meat and Thing and (lays some (Animal and Bird and Carnivore and Fish and Mammal and Reptile and Vertebrate)), \nFalse
Reptile SubClassOf Vertebrate, \nTrue
Fish SubClassOf Vertebrate, \nTrue
Mammal SubClassOf Vertebrate, \nTrue
Vertebrate SubClassOf Carnivore and Egg and Fish and Meat and Thing and (lays some (Animal and Bird and Carnivore and Fish and Mammal and Reptile and Vertebrate)), \nTrue
Vertebrate SubClassOf Animal and Carnivore and Egg and Fish and Meat and Thing and (lays some (Animal and Bird and Carnivore and Fish and Mammal and Reptile and Vertebrate)), \nTrue
Vertebrate SubClassOf Animal and Carnivore and Egg and Fish and Meat and Reptile and Thing and (lays some (Animal and Bird and Carnivore and Fish and Mammal and Reptile and Vertebrate)), \nFalse
Vertebrate SubClassOf Animal and Carnivore and Egg and Fish and Mammal and Meat and Thing and (lays some (Animal and Bird and Carnivore and Fish and Mammal and Reptile and Vertebrate)), \nHere
Vertebrate SubClassOf Animal and Bird and Carnivore and Egg and Fish and Meat and Thing and (lays some (Animal and Bird and Carnivore and Fish and Mammal and Reptile and Vertebrate)), \nThe
Vertebrate SubClassOf Animal and Backbone and Carnivore and Egg and Fish and Meat and Thing and (lays some (Animal and Bird and Carnivore and Fish and Mammal and Reptile and Vertebrate)), \nFalse
Vertebrate SubClassOf Animal and Carnivore and Egg and Fish and Meat and Thing and (lays some (Animal and Backbone and Bird and Carnivore and Fish and Mammal and Reptile and Vertebrate)), \nTrue
Animal and Carnivore and Egg and Fish and Meat and Water and Thing and (lays some (Animal and Backbone and Bird and Carnivore and Fish and Mammal and Reptile and Vertebrate)) SubClassOf Animal and Carnivore and Egg and Fish and Meat and Water and Thing and (lays some (Animal and Backbone and Bird and Carnivore and Fish and Mammal and Reptile and Vertebrate)), \nTrue
Egg SubClassOf lives_in some Elephant, \nFalse
Carnivore SubClassOf lives_in some Fish, \nFalse
Wing SubClassOf lives_in some Leg, \nFalse
Cat SubClassOf lives_in some Fish, True
Egg SubClassOf lives_in some Fish, \nFalse
Meat SubClassOf lives_in some Fish, False.
Water SubClassOf lives_in some Fish, \nFalse
Animal SubClassOf lives_in some Fish, \nFalse
Reptile SubClassOf lives_in some Fish, \nFalse
Plant SubClassOf lives_in some Fish, \nFalse
Vertebrate SubClassOf lives_in some Fish, \nFalse
Egg and (lives_in some Fish) SubClassOf Egg and (lives_in some Fish), \nFalse
Cat SubClassOf Egg, \nFalse
Cat SubClassOf Meat, False
Cat SubClassOf Water, \nFalse
Cat SubClassOf Reptile, True
Reptile SubClassOf Cat, \nTrue
Cat SubClassOf Plant, \nTrue
Plant SubClassOf Cat, \nFalse
Plant SubClassOf Egg and (lives_in some Fish), \nFalse
Cat SubClassOf Vertebrate, \nTrue
Vertebrate SubClassOf Egg and (lives_in some Fish), \nTrue
Vertebrate SubClassOf Carnivore and Egg and (lives_in some Fish), \nThe
Vertebrate SubClassOf Animal and Egg and (lives_in some Fish), \nTrue
Vertebrate SubClassOf Animal and Egg and Reptile and (lives_in some Fish), \nTrue
Vertebrate SubClassOf Animal and Egg and Fish and Reptile and (lives_in some Fish), \nFalse
Vertebrate SubClassOf Animal and Egg and Mammal and Reptile and (lives_in some Fish), \nThe
Vertebrate SubClassOf Animal and Bird and Egg and Reptile and (lives_in some Fish), \nTrue
Vertebrate SubClassOf Animal and Backbone and Bird and Egg and Reptile and (lives_in some Fish), \nTrue
