Crop and MarinePlant SubClassOf Arthropod, \nFalse
Can Canopy that is also MicrobiotaTaxonomy be considered a subcategory of 'Pollen'?, \nFalse
Can Macrophyte that is also Plant be considered a subcategory of 'MarineMammal'?, \nFalse
Can Crop that is also Litter be considered a subcategory of 'Moss'?, \nFalse
Can Fish that is also Macroalgae be considered a subcategory of 'Arthropod'?, \nFalse
Can Anemone that is also Protist be considered a subcategory of 'Invertebrate'?, \nFalse
Can Litter that is also Sporozoan be considered a subcategory of 'Human'?, \nFalse
Can Human that is also TreeRing be considered a subcategory of 'Canopy'?, \nFalse
Can MarinePlant that is also Millipede be considered a subcategory of 'Microbiota'?, \nFalse
Can Crown that is also Insect be considered a subcategory of 'Diatom'?, \nFalse
Can FungiTaxonomy that is also VegetationCover be considered a subcategory of 'MicrobiotaTaxonomy'?, \nFalse
Can Jellyfish that is also SegmentedWorm be considered a subcategory of 'FloweringPlant'?, \nFalse
Can Amphibian that is also Mammal be considered a subcategory of 'MarineBird'?, \nFalse
Can Amoebae that is also Canopy be considered a subcategory of 'Arachnid'?, \nFalse
Can IndigenousSpecies that is also Sponge be considered a subcategory of 'SlimeMold'?, \nFalse
Can Animal that is also Dairy be considered a subcategory of 'Conifer'?, \nFalse
Can Leaf be considered a subcategory of 'Pollen'?, \nFalse
Can Ciliate that is also Lichen be considered a subcategory of 'Litter'?, \nFalse
Can Amphibian that is also Bacteria be considered a subcategory of 'IndigenousVegetation'?, \nFalse
Can Amoebae that is also Fungi be considered a subcategory of 'MarineMammal'?, \nFalse
Can Fish that is also Invertebrate be considered a subcategory of 'Microalgae'?, \nFalse
Can Chlorophyll that is also MarinePlant be considered a subcategory of 'ExoticSpecies'?, \nFalse
Can Conifer that is also ExoticSpecies be considered a subcategory of 'Fish'?, \nFalse
Can Poultry that is also VegetationCover be considered a subcategory of 'Arthropod'?, \nFalse
Can BlueGreenAlgae that is also Yeast be considered a subcategory of 'MarineInvertebrate'?, \nFalse
Can MarineInvertebrate that is also MicrobiotaTaxonomy be considered a subcategory of 'Invertebrate'?, \nTrue
Can MarineInvertebrate that is also MicrobiotaTaxonomy be considered a subcategory of 'VegetationCover'?, \nFalse
Can MarineInvertebrate that is also MicrobiotaTaxonomy be considered a subcategory of 'Microalgae'?, \nFalse
Can MarineInvertebrate that is also MicrobiotaTaxonomy be considered a subcategory of 'Fungi'?, \nFalse
Can MarineInvertebrate that is also MicrobiotaTaxonomy be considered a subcategory of 'Arachnid'?, \nFalse
Can MarineInvertebrate that is also MicrobiotaTaxonomy be considered a subcategory of 'VegetationSpecies'?, \nFalse
Can MarineInvertebrate that is also MicrobiotaTaxonomy be considered a subcategory of 'Livestock'?, \nFalse
Can MarineInvertebrate that is also MicrobiotaTaxonomy be considered a subcategory of 'Sponge'?, \nTrue
Can MarineInvertebrate be considered a subcategory of 'Sponge'?, \nFalse
Can MicrobiotaTaxonomy be considered a subcategory of 'Sponge'?, \nFalse
Can Coccolithophore that is also Litter be considered a subcategory of 'MicrobiotaTaxonomy'?, \nFalse
Can Crop that is also Plant be considered a subcategory of 'Reptile'?, \nFalse
Can Fern that is also Flatworm be considered a subcategory of 'Animal'?, \nFalse
Can Anemone that is also MarineMicrobiota be considered a subcategory of 'DominantSpecies'?, \nFalse
Can Arachnid that is also Conifer be considered a subcategory of 'Vertebrate'?, \nFalse
Can Animal that is also Crustacean be considered a subcategory of 'Sporozoan'?, \nFalse
Can Animal that is also Dairy be considered a subcategory of 'BlueGreenAlgae'?, \nFalse
Can Yeast that is also Zooplankton be considered a subcategory of 'VegetationCover'?, \nFalse
Can EvergreenVegetation that is also MarineInvertebrate be considered a subcategory of 'Sponge'?, \nFalse
Can Fungi that is also Millipede be considered a subcategory of 'Phytoplankton'?, \nFalse
Can Algae that is also Fish be considered a subcategory of 'VegetationSpecies'?, \nFalse
Can Fern that is also Plankton be considered a subcategory of 'Lichen'?, \nFalse
Can MarineMicrobiota that is also Nutrient be considered a subcategory of 'Flatworm'?, \nFalse
Can Insect that is also Poultry be considered a subcategory of 'Yeast'?, \nFalse
Can Coccolithophore that is also ExoticVegetation be considered a subcategory of 'Algae'?, \nTrue
Can Coccolithophore that is also ExoticVegetation be considered a subcategory of 'VegetationCover'?, \nTrue
Can ExoticVegetation be considered a subcategory of 'VegetationCover'?, \nTrue
Can ExoticVegetation be considered a subcategory of 'Microalgae'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Fungi'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Arachnid'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'VegetationSpecies'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Livestock'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Sponge'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Flatworm'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Diatom'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'FungiTaxonomy'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'MarinePlant'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Moss'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Vertebrate'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Radiolarian'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Human'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'MarineMicrobiota'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Animal'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Flagellate'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Poultry'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'MarineMammal'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Amphibian'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Millipede'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Plankton'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Roundworm'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Microphyte'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'SlimeMold'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Microbiota'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'MicrobiotaTaxonomy'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Coccolithophore'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Lichen'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Leaf'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Pollen'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Mushroom'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Fish'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Reptile'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'MarineAnimal'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Macroalgae'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Foraminifer'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Dairy'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Liverwort'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Crustacean'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Canopy'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Coral'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Macrophyte'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'SegmentedWorm'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'LivingThing'?, \nTrue
Can ExoticVegetation be considered a subcategory of 'LivingThing that is also VegetationCover'?, \nTrue
Can ExoticVegetation be considered a subcategory of 'Bird'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Fern'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'DominantSpecies'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'BlueGreenAlgae'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'EvergreenVegetation'?, \nTrue
Can ExoticVegetation be considered a subcategory of 'EvergreenVegetation that is also LivingThing that is also VegetationCover'?, \nTrue
Can ExoticVegetation be considered a subcategory of 'TreeRing'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Vegetation'?, \nTrue
Can ExoticVegetation be considered a subcategory of 'EvergreenVegetation that is also LivingThing that is also Vegetation that is also VegetationCover'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'ExoticSpecies'?, \nTrue
Can ExoticVegetation be considered a subcategory of 'EvergreenVegetation that is also ExoticSpecies that is also LivingThing that is also VegetationCover'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Litter'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Crown'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Jellyfish'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Invertebrate'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Anemone'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Ciliate'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Zooplankton'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'FloweringPlant'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Sporozoan'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'IndigenousVegetation'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Nutrient'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'IndigenousSpecies'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'MarineInvertebrate'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Conifer'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Yeast'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Mammal'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Protist'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Centipede'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Crop'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Algae'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Arthropod'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'MarineBird'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Chlorophyll'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Mollusk'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Echinoderm'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Plant'?, \nTrue
Can ExoticVegetation be considered a subcategory of 'EvergreenVegetation that is also LivingThing that is also Plant that is also VegetationCover'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Amoebae'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Insect'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Mold'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Bacteria'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'DeciduousVegetation'?, \nFalse
Can ExoticVegetation be considered a subcategory of 'Phytoplankton'?, \nFalse
Can MarineMammal that is also VegetationSpecies be considered a subcategory of 'Fern'?, \nFalse
Can Algae that is also Fungi be considered a subcategory of 'Dairy'?, \nFalse
Can Mollusk that is also Sporozoan be considered a subcategory of 'Amphibian'?, \nFalse
Can DominantSpecies that is also Plant be considered a subcategory of 'Centipede'?, \nFalse
Can Microalgae that is also Radiolarian be considered a subcategory of 'Reptile'?, \nFalse
Can Human that is also Mushroom be considered a subcategory of 'SlimeMold'?, \nFalse
Can Conifer that is also MarineBird be considered a subcategory of 'DominantSpecies'?, \nFalse
Can DeciduousVegetation that is also Microphyte be considered a subcategory of 'MicrobiotaTaxonomy'?, \nTrue
Can DeciduousVegetation that is also Microphyte be considered a subcategory of 'VegetationCover'?, \nTrue
Can Microphyte be considered a subcategory of 'VegetationCover'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'VegetationCover'?, \nTrue
Can DeciduousVegetation be considered a subcategory of 'Microalgae'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Fungi'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Arachnid'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'VegetationSpecies'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Livestock'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Sponge'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Flatworm'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Diatom'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'FungiTaxonomy'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'MarinePlant'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Moss'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Vertebrate'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Radiolarian'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Human'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'MarineMicrobiota'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Animal'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Flagellate'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Poultry'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'MarineMammal'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Amphibian'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Millipede'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Plankton'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Roundworm'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Microphyte'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'SlimeMold'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Microbiota'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'MicrobiotaTaxonomy'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Coccolithophore'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Lichen'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Leaf'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Pollen'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Mushroom'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Fish'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Reptile'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'MarineAnimal'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Macroalgae'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Foraminifer'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Dairy'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Liverwort'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Crustacean'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Canopy'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Coral'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'ExoticVegetation'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Macrophyte'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'SegmentedWorm'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'LivingThing'?, \nTrue
Can DeciduousVegetation be considered a subcategory of 'LivingThing that is also VegetationCover'?, \nTrue
Can DeciduousVegetation be considered a subcategory of 'Bird'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Fern'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'DominantSpecies'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'BlueGreenAlgae'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'EvergreenVegetation'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'TreeRing'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Vegetation'?, \nTrue
Can DeciduousVegetation be considered a subcategory of 'LivingThing that is also Vegetation that is also VegetationCover'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'ExoticSpecies'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Litter'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Crown'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Jellyfish'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Invertebrate'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Anemone'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Ciliate'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Zooplankton'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'FloweringPlant'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Sporozoan'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'IndigenousVegetation'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Nutrient'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'IndigenousSpecies'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'MarineInvertebrate'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Conifer'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Yeast'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Mammal'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Protist'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Centipede'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Crop'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Algae'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Arthropod'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'MarineBird'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Chlorophyll'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Mollusk'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Echinoderm'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Plant'?, \nTrue
Can DeciduousVegetation be considered a subcategory of 'LivingThing that is also Plant that is also VegetationCover'?, \nTrue
Can DeciduousVegetation be considered a subcategory of 'Amoebae'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Insect'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Mold'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Bacteria'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'Phytoplankton'?, \nFalse
Can DeciduousVegetation be considered a subcategory of 'LivingThing that is also Plant that is also Vegetation that is also VegetationCover'?, \nTrue
Can Arachnid that is also Crop be considered a subcategory of 'FloweringPlant'?, \nFalse
Can Microbiota that is also Millipede be considered a subcategory of 'SegmentedWorm'?, \nFalse
Can Animal that is also Liverwort be considered a subcategory of 'Millipede'?, \nFalse
Can Diatom that is also Roundworm be considered a subcategory of 'Fungi'?, \nFalse
Can Coral that is also Fern be considered a subcategory of 'Mammal'?, \nFalse
Can Insect that is also Zooplankton be considered a subcategory of 'Poultry'?, \nFalse
Can Algae that is also Coccolithophore be considered a subcategory of 'Radiolarian'?, \nFalse
Can MarineInvertebrate that is also Roundworm be considered a subcategory of 'Insect'?, \nFalse
Can Invertebrate that is also Pollen be considered a subcategory of 'Vegetation'?, \nFalse
Can Plankton that is also Vegetation be considered a subcategory of 'Mold'?, \nFalse
Can Amphibian that is also Centipede be considered a subcategory of 'Leaf'?, \nFalse
Can DominantSpecies that is also Vegetation be considered a subcategory of 'MarineAnimal'?, \nFalse
Can Bacteria that is also Sponge be considered a subcategory of 'Centipede'?, \nFalse
Can Arthropod that is also SegmentedWorm be considered a subcategory of 'Fern'?, \nFalse
Can Bird that is also Coral be considered a subcategory of 'ExoticSpecies'?, \nFalse
Can Livestock that is also SlimeMold be considered a subcategory of 'Conifer'?, \nFalse
Can Moss that is also Vertebrate be considered a subcategory of 'Microalgae'?, \nFalse
Can EvergreenVegetation that is also Microbiota be considered a subcategory of 'MarineInvertebrate'?, \nFalse
Can ExoticVegetation that is also Nutrient be considered a subcategory of 'DeciduousVegetation'?, \nFalse
Can Anemone that is also Macroalgae be considered a subcategory of 'MarineMammal'?, \nFalse
Can Arachnid that is also Centipede be considered a subcategory of 'Diatom'?, \nFalse
Can Liverwort that is also Microphyte be considered a subcategory of 'Animal'?, \nFalse
Can MicrobiotaTaxonomy that is also Yeast be considered a subcategory of 'Invertebrate'?, \nFalse
Can IndigenousVegetation that is also Protist be considered a subcategory of 'Arthropod'?, \nFalse
Can MarineAnimal that is also Reptile be considered a subcategory of 'Amphibian'?, \nFalse
Can Fish that is also Microphyte be considered a subcategory of 'Flatworm'?, \nFalse
Can Poultry that is also Roundworm be considered a subcategory of 'Lichen'?, \nFalse
Can Foraminifer that is also Litter be considered a subcategory of 'Echinoderm'?, \nFalse
Can Arthropod that is also Radiolarian be considered a subcategory of 'Fern'?, \nFalse
Can Human that is also MarinePlant be considered a subcategory of 'IndigenousVegetation'?, \nFalse
Can DeciduousVegetation that is also MarineBird be considered a subcategory of 'IndigenousSpecies'?, \nFalse
Can Crustacean that is also FungiTaxonomy be considered a subcategory of 'Dairy'?, \nFalse
Can Crop that is also SegmentedWorm be considered a subcategory of 'Chlorophyll'?, \nFalse
Can IndigenousSpecies that is also Microbiota be considered a subcategory of 'Pollen'?, \nFalse
Can Liverwort that is also Reptile be considered a subcategory of 'MarineAnimal'?, \nFalse
Can Flagellate that is also VegetationSpecies be considered a subcategory of 'Mollusk'?, \nFalse
Can Coral that is also Livestock be considered a subcategory of 'Nutrient'?, \nFalse
Can TreeRing that is also Zooplankton be considered a subcategory of 'Ciliate'?, \nTrue
Can TreeRing that is also Zooplankton be considered a subcategory of 'VegetationCover'?, \nFalse
Can TreeRing that is also Zooplankton be considered a subcategory of 'Microalgae'?, \nFalse
Can TreeRing that is also Zooplankton be considered a subcategory of 'Fungi'?, \nFalse
Can TreeRing that is also Zooplankton be considered a subcategory of 'Arachnid'?, \nFalse
Can TreeRing that is also Zooplankton be considered a subcategory of 'VegetationSpecies'?, \nFalse
Can TreeRing that is also Zooplankton be considered a subcategory of 'Livestock'?, \nFalse
Can TreeRing that is also Zooplankton be considered a subcategory of 'Sponge'?, \nFalse
Can TreeRing that is also Zooplankton be considered a subcategory of 'Flatworm'?, \nFalse
Can TreeRing that is also Zooplankton be considered a subcategory of 'Diatom'?, \nFalse
Can TreeRing that is also Zooplankton be considered a subcategory of 'FungiTaxonomy'?, \nFalse
Can TreeRing that is also Zooplankton be considered a subcategory of 'MarinePlant'?, \nFalse
Can TreeRing that is also Zooplankton be considered a subcategory of 'Moss'?, \nFalse
Can TreeRing that is also Zooplankton be considered a subcategory of 'Vertebrate'?, \nFalse
Can TreeRing that is also Zooplankton be considered a subcategory of 'Radiolarian'?, \nFalse
Can TreeRing that is also Zooplankton be considered a subcategory of 'Human'?, \nFalse
Can TreeRing that is also Zooplankton be considered a subcategory of 'MarineMicrobiota'?, \nFalse
Can TreeRing that is also Zooplankton be considered a subcategory of 'Animal'?, \nFalse
Can TreeRing that is also Zooplankton be considered a subcategory of 'Flagellate'?, \nFalse
Can TreeRing that is also Zooplankton be considered a subcategory of 'Poultry'?, \nFalse
Can TreeRing that is also Zooplankton be considered a subcategory of 'MarineMammal'?, \nFalse
Can TreeRing that is also Zooplankton be considered a subcategory of 'Amphibian'?, \nFalse
Can TreeRing that is also Zooplankton be considered a subcategory of 'Millipede'?, \nFalse
Can TreeRing that is also Zooplankton be considered a subcategory of 'Plankton'?, \nFalse
Can TreeRing that is also Zooplankton be considered a subcategory of 'Roundworm'?, \nFalse
Can TreeRing that is also Zooplankton be considered a subcategory of 'Microphyte'?, \nFalse
Can TreeRing that is also Zooplankton be considered a subcategory of 'SlimeMold'?, \nFalse
Can TreeRing that is also Zooplankton be considered a subcategory of 'Microbiota'?, \nFalse
Can TreeRing that is also Zooplankton be considered a subcategory of 'MicrobiotaTaxonomy'?, \nFalse
Can TreeRing that is also Zooplankton be considered a subcategory of 'Coccolithophore'?, \nFalse
Can TreeRing that is also Zooplankton be considered a subcategory of 'Lichen'?, \nFalse
Can TreeRing that is also Zooplankton be considered a subcategory of 'Leaf'?, \nFalse
Can TreeRing that is also Zooplankton be considered a subcategory of 'Pollen'?, \nFalse
Can TreeRing that is also Zooplankton be considered a subcategory of 'Mushroom'?, \nFalse
Can TreeRing that is also Zooplankton be considered a subcategory of 'Fish'?, \nFalse
Can TreeRing that is also Zooplankton be considered a subcategory of 'Reptile'?, \nFalse
Can TreeRing that is also Zooplankton be considered a subcategory of 'MarineAnimal'?, \nTrue
Can TreeRing be considered a subcategory of 'MarineAnimal'?, \nFalse
Can Zooplankton be considered a subcategory of 'MarineAnimal'?, \nTrue
Can Zooplankton be considered a subcategory of 'VegetationCover'?, \nFalse
Can Zooplankton be considered a subcategory of 'Microalgae'?, \nFalse
Can Zooplankton be considered a subcategory of 'Fungi'?, \nFalse
Can Zooplankton be considered a subcategory of 'Arachnid'?, \nFalse
Can Zooplankton be considered a subcategory of 'VegetationSpecies'?, \nFalse
Can Zooplankton be considered a subcategory of 'Livestock'?, \nFalse
Can Zooplankton be considered a subcategory of 'Sponge'?, \nFalse
Can Zooplankton be considered a subcategory of 'Flatworm'?, \nFalse
Can Zooplankton be considered a subcategory of 'Diatom'?, \nFalse
Can Zooplankton be considered a subcategory of 'FungiTaxonomy'?, \nFalse
Can Zooplankton be considered a subcategory of 'MarinePlant'?, \nFalse
Can Zooplankton be considered a subcategory of 'Moss'?, \nFalse
Can Zooplankton be considered a subcategory of 'Vertebrate'?, \nFalse
Can Zooplankton be considered a subcategory of 'Radiolarian'?, \nFalse
Can Zooplankton be considered a subcategory of 'Human'?, \nFalse
Can Zooplankton be considered a subcategory of 'MarineMicrobiota'?, \nFalse
Can Zooplankton be considered a subcategory of 'Animal'?, \nTrue
Can Zooplankton be considered a subcategory of 'Animal that is also MarineAnimal'?, \nTrue
Can Zooplankton be considered a subcategory of 'Flagellate'?, \nFalse
Can Zooplankton be considered a subcategory of 'Poultry'?, \nFalse
Can Zooplankton be considered a subcategory of 'MarineMammal'?, \nFalse
Can Zooplankton be considered a subcategory of 'Amphibian'?, \nFalse
Can Zooplankton be considered a subcategory of 'Millipede'?, \nFalse
Can Zooplankton be considered a subcategory of 'Plankton'?, \nTrue
Can Zooplankton be considered a subcategory of 'Animal that is also MarineAnimal that is also Plankton'?, \nTrue
Can Zooplankton be considered a subcategory of 'Roundworm'?, \nFalse
Can Zooplankton be considered a subcategory of 'Microphyte'?, \nFalse
Can Zooplankton be considered a subcategory of 'SlimeMold'?, \nFalse
Can Zooplankton be considered a subcategory of 'Microbiota'?, \nFalse
Can Zooplankton be considered a subcategory of 'MicrobiotaTaxonomy'?, \nFalse
Can Zooplankton be considered a subcategory of 'Coccolithophore'?, \nFalse
Can Zooplankton be considered a subcategory of 'Lichen'?, \nFalse
Can Zooplankton be considered a subcategory of 'Leaf'?, \nFalse
Can Zooplankton be considered a subcategory of 'Pollen'?, \nFalse
Can Zooplankton be considered a subcategory of 'Mushroom'?, \nFalse
Can Zooplankton be considered a subcategory of 'Fish'?, \nFalse
Can Zooplankton be considered a subcategory of 'Reptile'?, \nFalse
Can Zooplankton be considered a subcategory of 'Macroalgae'?, \nFalse
Can Zooplankton be considered a subcategory of 'Foraminifer'?, \nFalse
Can Zooplankton be considered a subcategory of 'Dairy'?, \nFalse
Can Zooplankton be considered a subcategory of 'Liverwort'?, \nFalse
Can Zooplankton be considered a subcategory of 'Crustacean'?, \nFalse
Can Zooplankton be considered a subcategory of 'Canopy'?, \nFalse
Can Zooplankton be considered a subcategory of 'Coral'?, \nFalse
Can Zooplankton be considered a subcategory of 'ExoticVegetation'?, \nFalse
Can Zooplankton be considered a subcategory of 'Macrophyte'?, \nFalse
Can Zooplankton be considered a subcategory of 'SegmentedWorm'?, \nFalse
Can Zooplankton be considered a subcategory of 'LivingThing'?, \nTrue
Can Zooplankton be considered a subcategory of 'Animal that is also LivingThing that is also MarineAnimal that is also Plankton'?, \nTrue
