Can Animal that is also Backbone be considered a subcategory of 'Carnivore'?, True
Can Egg be considered a subcategory of 'Animal that is also Bird that is also Carnivore that is also Cat that is also Egg that is also Fish that is also Herbivore that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Wing that is also Thing that is also something that (eats some (Animal that is also Backbone that is also Carnivore that is also Egg that is also Fish that is also Herbivore that is also Mammal that is also Meat that is also Plant that is also Vertebrate that is also Water that is also Wing))'?, True
Can Egg be considered a subcategory of 'Animal that is also Bird that is also Carnivore that is also Cat that is also Egg that is also Fish that is also Herbivore that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Wing that is also Thing that is also something that (eats some (Animal that is also Backbone that is also Carnivore that is also Cat that is also Egg that is also Fish that is also Herbivore that is also Mammal that is also Meat that is also Plant that is also Vertebrate that is also Water that is also Wing))'?, True.
Can Egg be considered a subcategory of 'Animal that is also Bird that is also Carnivore that is also Cat that is also Egg that is also Fish that is also Herbivore that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Wing that is also Thing that is also something that (eats some (Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Egg that is also Fish that is also Herbivore that is also Mammal that is also Meat that is also Plant that is also Vertebrate that is also Water that is also Wing))'?, True.
Can Animal that is also Bird that is also Carnivore that is also Cat that is also Egg that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Wing that is also Thing that is also something that (eats some (Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Egg that is also Fish that is also Herbivore that is also Mammal that is also Meat that is also Plant that is also Vertebrate that is also Water that is also Wing)) be considered a subcategory of 'Animal that is also Bird that is also Carnivore that is also Cat that is also Egg that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Wing that is also Thing that is also something that (eats some (Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Egg that is also Fish that is also Herbivore that is also Mammal that is also Meat that is also Plant that is also Vertebrate that is also Water that is also Wing))'?, True.
Can Cat be considered a subcategory of 'something that lives_in some Bird'?, True
Can Egg be considered a subcategory of 'something that lives_in some Bird'?, True
Can Egg that is also something that (lives_in some Bird) be considered a subcategory of 'Egg that is also something that (lives_in some Bird)'?, \nFalse
Can Meat be considered a subcategory of 'Egg that is also something that (lives_in some Bird)'?, True
Can Meat be considered a subcategory of 'Carnivore that is also Egg that is also something that (lives_in some Bird)'?, \nFalse
Can Meat be considered a subcategory of 'Animal that is also Egg that is also something that (lives_in some Bird)'?, True
Can Meat be considered a subcategory of 'Animal that is also Egg that is also Reptile that is also something that (lives_in some Bird)'?, \nFalse
Can Meat be considered a subcategory of 'Animal that is also Egg that is also Vertebrate that is also something that (lives_in some Bird)'?, \nFalse
Can Meat be considered a subcategory of 'Animal that is also Egg that is also Fish that is also something that (lives_in some Bird)'?, True
Can Meat be considered a subcategory of 'Animal that is also Egg that is also Fish that is also Mammal that is also something that (lives_in some Bird)'?, True
Can Meat be considered a subcategory of 'Animal that is also Egg that is also Fish that is also Herbivore that is also Mammal that is also something that (lives_in some Bird)'?, True
Can Meat be considered a subcategory of 'Animal that is also Egg that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also something that (lives_in some Bird)'?, \nFalse
Can Meat be considered a subcategory of 'Animal that is also Bird that is also Egg that is also Fish that is also Herbivore that is also Mammal that is also something that (lives_in some Bird)'?, \nFalse
Can Meat be considered a subcategory of 'Animal that is also Backbone that is also Egg that is also Fish that is also Herbivore that is also Mammal that is also something that (lives_in some Bird)'?, \nFalse
Can Meat be considered a subcategory of 'Animal that is also Egg that is also Fish that is also Herbivore that is also Mammal that is also something that (lives_in some (Bird that is also Meat))'?, \nFalse
Can Meat be considered a subcategory of 'Animal that is also Egg that is also Fish that is also Herbivore that is also Mammal that is also something that (lives_in some (Bird that is also Carnivore))'?, \nFalse
Can Meat be considered a subcategory of 'Animal that is also Egg that is also Fish that is also Herbivore that is also Mammal that is also something that (lives_in some (Animal that is also Bird))'?, True
Can Meat be considered a subcategory of 'Animal that is also Egg that is also Fish that is also Herbivore that is also Mammal that is also something that (lives_in some (Animal that is also Bird that is also Reptile))'?, True
Can Meat be considered a subcategory of 'Animal that is also Egg that is also Fish that is also Herbivore that is also Mammal that is also something that (lives_in some (Animal that is also Bird that is also Reptile that is also Vertebrate))'?, \nTrue
Can Meat be considered a subcategory of 'Animal that is also Egg that is also Fish that is also Herbivore that is also Mammal that is also something that (lives_in some (Animal that is also Bird that is also Fish that is also Reptile that is also Vertebrate))'?, \nTrue
Can Meat be considered a subcategory of 'Animal that is also Egg that is also Fish that is also Herbivore that is also Mammal that is also something that (lives_in some (Animal that is also Bird that is also Fish that is also Mammal that is also Reptile that is also Vertebrate))'?, \nFalse
Can Meat be considered a subcategory of 'Animal that is also Egg that is also Fish that is also Herbivore that is also Mammal that is also something that (lives_in some (Animal that is also Bird that is also Fish that is also Herbivore that is also Reptile that is also Vertebrate))'?, True
Can Meat be considered a subcategory of 'Animal that is also Egg that is also Fish that is also Herbivore that is also Mammal that is also something that (lives_in some (Animal that is also Bird that is also Fish that is also Herbivore that is also Leg that is also Reptile that is also Vertebrate))'?, \nTrue
Can Meat be considered a subcategory of 'Animal that is also Egg that is also Fish that is also Herbivore that is also Mammal that is also something that (lives_in some (Animal that is also Backbone that is also Bird that is also Fish that is also Herbivore that is also Leg that is also Reptile that is also Vertebrate))'?, True
Can Animal that is also Egg that is also Fish that is also Herbivore that is also Mammal that is also Meat that is also something that (lives_in some (Animal that is also Backbone that is also Bird that is also Fish that is also Herbivore that is also Leg that is also Reptile that is also Vertebrate)) be considered a subcategory of 'Animal that is also Egg that is also Fish that is also Herbivore that is also Mammal that is also Meat that is also something that (lives_in some (Animal that is also Backbone that is also Bird that is also Fish that is also Herbivore that is also Leg that is also Reptile that is also Vertebrate))'?, True.
Can Animal that is also Backbone that is also Bird that is also Carnivore that is also Egg that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Thing that is also something that (lays some (Animal that is also Backbone that is also Bird that is also Carnivore that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Reptile that is also Vertebrate)) be considered a subcategory of 'Animal that is also Backbone that is also Bird that is also Carnivore that is also Egg that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Thing that is also something that (lays some (Animal that is also Backbone that is also Bird that is also Carnivore that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Reptile that is also Vertebrate)) that is also something that (lives_in some (Animal that is also Backbone that is also Bird that is also Fish that is also Herbivore that is also Leg that is also Reptile that is also Vertebrate))'?, True.
Can Meat be considered a subcategory of 'Animal that is also Backbone that is also Bird that is also Carnivore that is also Egg that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Thing that is also something that (lays some (Animal that is also Backbone that is also Bird that is also Carnivore that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Reptile that is also Vertebrate)) that is also something that (lives_in some (Animal that is also Backbone that is also Bird that is also Fish that is also Herbivore that is also Leg that is also Meat that is also Reptile that is also Vertebrate))'?, True.
Can Meat be considered a subcategory of 'Animal that is also Backbone that is also Bird that is also Carnivore that is also Egg that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Thing that is also something that (lays some (Animal that is also Backbone that is also Bird that is also Carnivore that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Reptile that is also Vertebrate)) that is also something that (lives_in some (Animal that is also Backbone that is also Bird that is also Carnivore that is also Fish that is also Herbivore that is also Leg that is also Meat that is also Reptile that is also Vertebrate))'?, True.
Can Meat be considered a subcategory of 'Animal that is also Backbone that is also Bird that is also Carnivore that is also Egg that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Thing that is also something that (lays some (Animal that is also Backbone that is also Bird that is also Carnivore that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Reptile that is also Vertebrate)) that is also something that (lives_in some (Animal that is also Backbone that is also Bird that is also Carnivore that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Reptile that is also Vertebrate))'?, True.
Can Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Egg that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Thing that is also something that (lays some (Animal that is also Backbone that is also Bird that is also Carnivore that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Reptile that is also Vertebrate)) be considered a subcategory of 'Animal that is also Backbone that is also Bird that is also Carnivore that is also Cat that is also Egg that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Plant that is also Reptile that is also Vertebrate that is also Water that is also Thing that is also something that (lays some (Animal that is also Backbone that is also Bird that is also Carnivore that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Reptile that is also Vertebrate)) that is also something that (lives_in some (Animal that is also Backbone that is also Bird that is also Carnivore that is also Fish that is also Herbivore that is also Leg that is also Mammal that is also Meat that is also Reptile that is also Vertebrate))'?, True.
Animal and Backbone SubClassOf Carnivore, True
Animal and Backbone SubClassOf Egg, True
Animal SubClassOf Egg, True
Animal SubClassOf Meat, True
Animal SubClassOf Egg and Meat, True
Animal SubClassOf Carnivore, True
Animal SubClassOf Carnivore and Egg and Meat, \nTrue
Animal SubClassOf Water, True
Animal SubClassOf Carnivore and Egg and Meat and Water, True
Animal SubClassOf Reptile, True
Animal SubClassOf Carnivore and Egg and Meat and Reptile and Water, \nTrue
Animal SubClassOf Plant, True
Animal SubClassOf Carnivore and Egg and Meat and Plant and Reptile and Water, \nTrue
Animal SubClassOf Vertebrate, True
Animal SubClassOf Carnivore and Egg and Meat and Plant and Reptile and Vertebrate and Water, \nTrue
Animal SubClassOf Cat, True
Animal SubClassOf Carnivore and Cat and Egg and Meat and Plant and Reptile and Vertebrate and Water, \nTrue
Animal SubClassOf Fish, True
Animal SubClassOf Carnivore and Cat and Egg and Fish and Meat and Plant and Reptile and Vertebrate and Water, \nTrue
Animal SubClassOf Mammal, True
Animal SubClassOf Carnivore and Cat and Egg and Fish and Mammal and Meat and Plant and Reptile and Vertebrate and Water, \nTrue
Animal SubClassOf Herbivore, True
Animal SubClassOf Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water, \nTrue
Animal SubClassOf Leg, True
Animal SubClassOf Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water, \nTrue
Animal SubClassOf Elephant, True
Animal SubClassOf Carnivore and Cat and Egg and Elephant and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water, \nTrue
Animal SubClassOf Bird, True
Animal SubClassOf Bird and Carnivore and Cat and Egg and Elephant and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water, \nTrue
Animal SubClassOf Backbone, True
Animal SubClassOf Backbone and Bird and Carnivore and Cat and Egg and Elephant and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water, \nTrue
Animal SubClassOf Wing, True
Animal SubClassOf Backbone and Bird and Carnivore and Cat and Egg and Elephant and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing, \nTrue
eats some Carnivore SubClassOf Fish, True
eats some Carnivore SubClassOf Egg, True
Carnivore SubClassOf Egg, True
Carnivore SubClassOf Meat, True
Carnivore SubClassOf Egg and Meat, True
Carnivore SubClassOf Water, True
Carnivore SubClassOf Egg and Meat and Water, \nFalse
Carnivore SubClassOf Animal, True
Carnivore SubClassOf Animal and Egg and Meat, True
Carnivore SubClassOf Reptile, True
Carnivore SubClassOf Animal and Egg and Meat and Reptile, \nTrue
Carnivore SubClassOf Plant, False
Carnivore SubClassOf Vertebrate, True
Carnivore SubClassOf Animal and Egg and Meat and Reptile and Vertebrate, True
Carnivore SubClassOf Cat, True
Carnivore SubClassOf Animal and Cat and Egg and Meat and Reptile and Vertebrate, \nTrue
Carnivore SubClassOf Fish, True
Carnivore SubClassOf Animal and Cat and Egg and Fish and Meat and Reptile and Vertebrate, \nTrue
Carnivore SubClassOf Mammal, True
Carnivore SubClassOf Animal and Cat and Egg and Fish and Mammal and Meat and Reptile and Vertebrate, \nTrue
Carnivore SubClassOf Herbivore, True
Carnivore SubClassOf Animal and Cat and Egg and Fish and Herbivore and Mammal and Meat and Reptile and Vertebrate, \nTrue
Carnivore SubClassOf Leg, True
Carnivore SubClassOf Animal and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Reptile and Vertebrate, \nTrue
Carnivore SubClassOf Elephant, \nFalse
Carnivore SubClassOf Bird, True
Carnivore SubClassOf Animal and Bird and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Reptile and Vertebrate, \nTrue
Carnivore SubClassOf Backbone, True
Carnivore SubClassOf Animal and Backbone and Bird and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Reptile and Vertebrate, \nTrue
Carnivore SubClassOf Wing, \nFalse
Carnivore SubClassOf Animal and Backbone and Bird and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Reptile and Vertebrate and Water, \nTrue
has_part some Reptile SubClassOf Egg, True
Reptile SubClassOf Egg, True
Reptile SubClassOf Meat, True
Reptile SubClassOf Egg and Meat, True
Reptile SubClassOf Carnivore, True
Reptile SubClassOf Carnivore and Egg and Meat, True
Reptile SubClassOf Water, \nFalse
Reptile SubClassOf Animal, True
Reptile SubClassOf Animal and Carnivore and Egg and Meat, \nTrue
Reptile SubClassOf Plant, True
Reptile SubClassOf Animal and Carnivore and Egg and Meat and Plant, \nTrue
Reptile SubClassOf Vertebrate, True
Reptile SubClassOf Animal and Carnivore and Egg and Meat and Plant and Vertebrate, \nTrue
Reptile SubClassOf Cat, True
Reptile SubClassOf Animal and Carnivore and Cat and Egg and Meat and Plant and Vertebrate, \nTrue
Reptile SubClassOf Fish, False
Reptile SubClassOf Mammal, False
Reptile SubClassOf Herbivore, True
Reptile SubClassOf Animal and Carnivore and Cat and Egg and Herbivore and Meat and Plant and Vertebrate, \nTrue
Reptile SubClassOf Leg, True
Reptile SubClassOf Animal and Carnivore and Cat and Egg and Herbivore and Leg and Meat and Plant and Vertebrate, \nTrue
Reptile SubClassOf Elephant, False
Reptile SubClassOf Bird, True
Reptile SubClassOf Animal and Bird and Carnivore and Cat and Egg and Herbivore and Leg and Meat and Plant and Vertebrate, \nTrue
Reptile SubClassOf Backbone, True
Reptile SubClassOf Animal and Backbone and Bird and Carnivore and Cat and Egg and Herbivore and Leg and Meat and Plant and Vertebrate, \nTrue
Reptile SubClassOf Wing, \nFalse
Meat SubClassOf Water, True
Meat SubClassOf Egg, True
Meat SubClassOf Carnivore, True
Meat SubClassOf Carnivore and Egg, True
Meat SubClassOf Carnivore and Egg and Water, \nTrue
Meat SubClassOf Animal, True
Meat SubClassOf Animal and Carnivore and Egg and Water, \nTrue
Meat SubClassOf Reptile, True
Meat SubClassOf Animal and Carnivore and Egg and Reptile and Water, \nTrue
Meat SubClassOf Plant, True
Meat SubClassOf Animal and Carnivore and Egg and Plant and Reptile and Water, \nTrue
Meat SubClassOf Vertebrate, True
Meat SubClassOf Animal and Carnivore and Egg and Plant and Reptile and Vertebrate and Water, \nTrue
Meat SubClassOf Cat, True
Meat SubClassOf Animal and Carnivore and Cat and Egg and Plant and Reptile and Vertebrate and Water, \nTrue
Meat SubClassOf Fish, True
Meat SubClassOf Animal and Carnivore and Cat and Egg and Fish and Plant and Reptile and Vertebrate and Water, \nTrue
Meat SubClassOf Mammal, True
Meat SubClassOf Animal and Carnivore and Cat and Egg and Fish and Mammal and Plant and Reptile and Vertebrate and Water, \nTrue
Meat SubClassOf Herbivore, True
Meat SubClassOf Animal and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Plant and Reptile and Vertebrate and Water, \nTrue
Meat SubClassOf Leg, True
Meat SubClassOf Animal and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Plant and Reptile and Vertebrate and Water, \nTrue
Meat SubClassOf Elephant, True
Meat SubClassOf Animal and Carnivore and Cat and Egg and Elephant and Fish and Herbivore and Leg and Mammal and Plant and Reptile and Vertebrate and Water, \nTrue
Meat SubClassOf Bird, True
Meat SubClassOf Animal and Bird and Carnivore and Cat and Egg and Elephant and Fish and Herbivore and Leg and Mammal and Plant and Reptile and Vertebrate and Water, \nTrue
Meat SubClassOf Backbone, True
Meat SubClassOf Animal and Backbone and Bird and Carnivore and Cat and Egg and Elephant and Fish and Herbivore and Leg and Mammal and Plant and Reptile and Vertebrate and Water, \nTrue
Meat SubClassOf Wing, True
Meat SubClassOf Animal and Backbone and Bird and Carnivore and Cat and Egg and Elephant and Fish and Herbivore and Leg and Mammal and Plant and Reptile and Vertebrate and Water and Wing, \nTrue
lives_in some Backbone SubClassOf Reptile, True
lives_in some Backbone SubClassOf Egg, True
Backbone SubClassOf Egg, True
Backbone SubClassOf Meat, True
Backbone SubClassOf Egg and Meat, True
Backbone SubClassOf Carnivore, True
Backbone SubClassOf Carnivore and Egg and Meat, True
Backbone SubClassOf Water, True
Backbone SubClassOf Carnivore and Egg and Meat and Water, \nTrue
Backbone SubClassOf Animal, True
Backbone SubClassOf Animal and Carnivore and Egg and Meat and Water, \nTrue
Backbone SubClassOf Reptile, True
Backbone SubClassOf Animal and Carnivore and Egg and Meat and Reptile and Water, \nTrue
Backbone SubClassOf Plant, True
Backbone SubClassOf Animal and Carnivore and Egg and Meat and Plant and Reptile and Water, \nTrue
Backbone SubClassOf Vertebrate, True
Backbone SubClassOf Animal and Carnivore and Egg and Meat and Plant and Reptile and Vertebrate and Water, \nTrue
Backbone SubClassOf Cat, True
Backbone SubClassOf Animal and Carnivore and Cat and Egg and Meat and Plant and Reptile and Vertebrate and Water, \nTrue
Backbone SubClassOf Fish, True
Backbone SubClassOf Animal and Carnivore and Cat and Egg and Fish and Meat and Plant and Reptile and Vertebrate and Water, \nTrue
Backbone SubClassOf Mammal, True
Backbone SubClassOf Animal and Carnivore and Cat and Egg and Fish and Mammal and Meat and Plant and Reptile and Vertebrate and Water, \nTrue
Backbone SubClassOf Herbivore, True
Backbone SubClassOf Animal and Carnivore and Cat and Egg and Fish and Herbivore and Mammal and Meat and Plant and Reptile and Vertebrate and Water, \nTrue
Backbone SubClassOf Leg, True
Backbone SubClassOf Animal and Carnivore and Cat and Egg and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water, \nTrue
Backbone SubClassOf Elephant, True
Backbone SubClassOf Animal and Carnivore and Cat and Egg and Elephant and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water, \nTrue
Backbone SubClassOf Bird, True
Backbone SubClassOf Animal and Bird and Carnivore and Cat and Egg and Elephant and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water, \nTrue
Backbone SubClassOf Wing, True
Backbone SubClassOf Animal and Bird and Carnivore and Cat and Egg and Elephant and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing, \nTrue
eats some Bird SubClassOf Cat, True
eats some Bird SubClassOf Egg, True
Bird SubClassOf Egg, True
Bird SubClassOf Meat, \nFalse
Bird SubClassOf Carnivore, True
Bird SubClassOf Carnivore and Egg, \nTrue
Bird SubClassOf Water, True
Bird SubClassOf Carnivore and Egg and Water, \nTrue
Bird SubClassOf Animal, True
Bird SubClassOf Animal and Carnivore and Egg and Water, \nTrue
Bird SubClassOf Reptile, False
Bird SubClassOf Plant, False
Bird SubClassOf Vertebrate, True
Bird SubClassOf Animal and Carnivore and Egg and Vertebrate and Water, \nTrue
Bird SubClassOf Cat, \nFalse
Bird SubClassOf Fish, False
Bird SubClassOf Mammal, True
Bird SubClassOf Animal and Carnivore and Egg and Mammal and Vertebrate and Water, \nTrue
Bird SubClassOf Herbivore, True
Bird SubClassOf Animal and Carnivore and Egg and Herbivore and Mammal and Vertebrate and Water, \nTrue
Bird SubClassOf Leg, True
Bird SubClassOf Animal and Carnivore and Egg and Herbivore and Leg and Mammal and Vertebrate and Water, \nTrue
Bird SubClassOf Elephant, False
Bird SubClassOf Backbone, True
Bird SubClassOf Animal and Backbone and Carnivore and Egg and Herbivore and Leg and Mammal and Vertebrate and Water, \nTrue
Bird SubClassOf Wing, True
Bird SubClassOf Animal and Backbone and Carnivore and Egg and Herbivore and Leg and Mammal and Vertebrate and Water and Wing, \nTrue
Backbone SubClassOf has_part some Leg, \nTrue
Egg SubClassOf has_part some Leg, True
has_part some Leg SubClassOf has_part some Leg, \nTrue
Egg SubClassOf Leg, True
Egg SubClassOf Meat, True
Egg SubClassOf Leg and Meat, True
Egg SubClassOf Carnivore, True
Egg SubClassOf Carnivore and Leg and Meat, True
Egg SubClassOf Water, True
Egg SubClassOf Carnivore and Leg and Meat and Water, \nTrue
Egg SubClassOf Animal, True
Egg SubClassOf Animal and Carnivore and Leg and Meat and Water, \nTrue
Egg SubClassOf Reptile, True
Egg SubClassOf Animal and Carnivore and Leg and Meat and Reptile and Water, \nTrue
Egg SubClassOf Plant, True
Egg SubClassOf Animal and Carnivore and Leg and Meat and Plant and Reptile and Water, \nTrue
Egg SubClassOf Vertebrate, True
Egg SubClassOf Animal and Carnivore and Leg and Meat and Plant and Reptile and Vertebrate and Water, \nTrue
Egg SubClassOf Cat, True
Egg SubClassOf Animal and Carnivore and Cat and Leg and Meat and Plant and Reptile and Vertebrate and Water, \nTrue
Egg SubClassOf Fish, True
Egg SubClassOf Animal and Carnivore and Cat and Fish and Leg and Meat and Plant and Reptile and Vertebrate and Water, \nTrue
Egg SubClassOf Mammal, True
Egg SubClassOf Animal and Carnivore and Cat and Fish and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water, \nTrue
Egg SubClassOf Herbivore, True
Egg SubClassOf Animal and Carnivore and Cat and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water, \nTrue
Egg SubClassOf Elephant, \nFalse
Egg SubClassOf Bird, True
Egg SubClassOf Animal and Bird and Carnivore and Cat and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water, \nTrue
Egg SubClassOf Backbone, True
Egg SubClassOf Animal and Backbone and Bird and Carnivore and Cat and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water, \nTrue
Egg SubClassOf Wing, True
Egg SubClassOf Animal and Backbone and Bird and Carnivore and Cat and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing, \nTrue
Cat and Water SubClassOf Leg, True
Cat and Water SubClassOf Egg, True
Cat SubClassOf Egg, True
Cat SubClassOf Meat, True
Cat SubClassOf Egg and Meat, True
Cat SubClassOf Carnivore, True
Cat SubClassOf Carnivore and Egg and Meat, True
Cat SubClassOf Water, True
Cat SubClassOf Carnivore and Egg and Meat and Water, \nTrue
Cat SubClassOf Animal, True
Cat SubClassOf Animal and Carnivore and Egg and Meat and Water, \nTrue
Cat SubClassOf Reptile, True
Cat SubClassOf Animal and Carnivore and Egg and Meat and Reptile and Water, \nTrue
Cat SubClassOf Plant, False
Cat SubClassOf Vertebrate, True
Cat SubClassOf Animal and Carnivore and Egg and Meat and Reptile and Vertebrate and Water, \nTrue
Cat SubClassOf Fish, False
Cat SubClassOf Mammal, True
Cat SubClassOf Animal and Carnivore and Egg and Mammal and Meat and Reptile and Vertebrate and Water, \nTrue
Cat SubClassOf Herbivore, True
Cat SubClassOf Animal and Carnivore and Egg and Herbivore and Mammal and Meat and Reptile and Vertebrate and Water, \nTrue
Cat SubClassOf Leg, True
Cat SubClassOf Animal and Carnivore and Egg and Herbivore and Leg and Mammal and Meat and Reptile and Vertebrate and Water, \nTrue
Cat SubClassOf Elephant, False
Cat SubClassOf Bird, False
Cat SubClassOf Backbone, True
Cat SubClassOf Animal and Backbone and Carnivore and Egg and Herbivore and Leg and Mammal and Meat and Reptile and Vertebrate and Water, \nTrue
Cat SubClassOf Wing, \nFalse
eats some Water SubClassOf Carnivore, True
eats some Water SubClassOf Egg, True
Water SubClassOf Egg, True
Water SubClassOf Meat, \nFalse
Water SubClassOf Carnivore, True
Water SubClassOf Carnivore and Egg, \nTrue
Water SubClassOf Animal, True
Water SubClassOf Animal and Carnivore and Egg, \nFalse
Water SubClassOf Reptile, True
Water SubClassOf Carnivore and Egg and Reptile, \nFalse
Water SubClassOf Plant, True
Water SubClassOf Carnivore and Egg and Plant, \nTrue
Water SubClassOf Vertebrate, True
Water SubClassOf Carnivore and Egg and Plant and Vertebrate, \nTrue
Water SubClassOf Cat, False
Water SubClassOf Fish, True
Water SubClassOf Carnivore and Egg and Fish and Plant and Vertebrate, \nTrue
Water SubClassOf Mammal, True
Water SubClassOf Carnivore and Egg and Fish and Mammal and Plant and Vertebrate, \nTrue
Water SubClassOf Herbivore, True
Water SubClassOf Carnivore and Egg and Fish and Herbivore and Mammal and Plant and Vertebrate, \nTrue
Water SubClassOf Leg, True
Water SubClassOf Carnivore and Egg and Fish and Herbivore and Leg and Mammal and Plant and Vertebrate, \nTrue
Water SubClassOf Elephant, False
Water SubClassOf Bird, \nFalse
Water SubClassOf Backbone, True
Water SubClassOf Backbone and Carnivore and Egg and Fish and Herbivore and Leg and Mammal and Plant and Vertebrate, \nTrue
Water SubClassOf Wing, \nFalse
Water SubClassOf Animal and Backbone and Carnivore and Egg and Fish and Herbivore and Leg and Mammal and Plant and Vertebrate, \nTrue
Water SubClassOf Animal and Backbone and Carnivore and Egg and Fish and Herbivore and Leg and Mammal and Plant and Reptile and Vertebrate, \nTrue
Thing SubClassOf lives_in some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Elephant and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing), \nTrue
(lives_in some Animal) and (lives_in some (Backbone and Bird and Carnivore and Cat and Egg and Elephant and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing)) SubClassOf lives_in some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Elephant and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing), \nTrue
lives_in some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Elephant and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing) SubClassOf lives_in some (Animal and Backbone and Bird and Carnivore and Cat and Egg and Elephant and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing), \nTrue
lives_in some (Backbone and Bird and Carnivore and Cat and Egg and Elephant and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing) SubClassOf Egg, \nTrue
lives_in some (Bird and Carnivore and Cat and Egg and Elephant and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing) SubClassOf Egg, \nTrue
lives_in some (Carnivore and Cat and Egg and Elephant and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing) SubClassOf Egg, \nTrue
lives_in some (Cat and Egg and Elephant and Fish and Herbivore and Leg and Mammal and Meat and Plant and Reptile and Vertebrate and Water and Wing) SubClassOf Egg, \nTrue
