HomocysteineLevel and ModerateMontgomeryAsbergDepressionRating SubClassOf GenotypeMeasure, \nTrue
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDifference and GeneExpressionDifference and HamiltonDepressionScoreDifference and HighReductionInHamiltonDepressionScore and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndex and BodyMassIndexDifference and GeneExpressionDifference and HamiltonDepressionScoreDifference and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDifference and DrugEfficacyMeasure and GeneExpressionDifference and HamiltonDepressionScoreDifference and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BiophysicalMeasure and BodyMassIndexDifference and GeneExpressionDifference and HamiltonDepressionScoreDifference and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDifference and GeneExpressionDifference and HamiltonDepressionScoreDifference and LowReductionInHamiltonAnxietyScore and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDifference and ErythromycinClearanceMeasure and GeneExpressionDifference and HamiltonDepressionScoreDifference and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDifference and GeneExpressionDifference and HamiltonDepressionScoreDifference and LowReductionInMontgomeryAsbergDepressionRating and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDifference and GeneExpressionDifference and HamiltonDepressionScoreDifference and ModerateReductionInChildDepressionScore and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentration and ASAAConcentrationIncrease and BodyMassIndexDifference and GeneExpressionDifference and HamiltonDepressionScoreDifference and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDifference and GeneExpressionDifference and HamiltonDepressionScoreDifference and ModerateReductionInHamiltonDepressionScore and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDifference and GeneExpressionDifference and HamiltonDepressionScoreDifference and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and SimilarRemissionOddsRatio and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDifference and ForcedExperiatoryVolume and GeneExpressionDifference and HamiltonDepressionScoreDifference and HighReductionInHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MontgomeryAsbergDepressionRating and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and TissueMeasure and WeightMeasure and WeigthDifference, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDifference and ForcedExperiatoryVolume and GeneExpressionDifference and GenotypeMeasure and HamiltonDepressionScoreDifference and HighReductionInHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MontgomeryAsbergDepressionRating and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and TissueMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDifference and ForcedExperiatoryVolume and GeneExpressionDifference and HamiltonDepressionScoreDifference and HighReductionInHamiltonDepressionScore and HighReductionInMontgomeryAsbergDepressionRating and ModerateReductionInHamiltonAnxietyScore and MontgomeryAsbergDepressionRating and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and TissueMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDifference and ForcedExperiatoryVolume and GeneExpressionDifference and HamiltonDepressionScoreDifference and HighReductionInHamiltonDepressionScore and LowReductionInChildDepressionScore and ModerateReductionInHamiltonAnxietyScore and MontgomeryAsbergDepressionRating and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and TissueMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDifference and ForcedExperiatoryVolume and GeneExpressionDifference and HamiltonDepressionScoreDifference and HighReductionInHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MontgomeryAsbergDepressionRating and PharmacokineticMeasure and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and TissueMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDifference and ForcedExperiatoryVolume and GeneExpressionDifference and HamiltonDepressionScoreDifference and HighReductionInHamiltonDepressionScore and MetabolicMeasure and ModerateReductionInHamiltonAnxietyScore and MontgomeryAsbergDepressionRating and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and TissueMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDifference and ForcedExperiatoryVolume and GeneExpressionDifference and HamiltonDepressionScoreDifference and HighReductionInHamiltonDepressionScore and LowRemission and ModerateReductionInHamiltonAnxietyScore and MontgomeryAsbergDepressionRating and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and TissueMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationDifference and ASAAConcentrationIncrease and BodyMassIndexDifference and ForcedExperiatoryVolume and GeneExpressionDifference and HamiltonDepressionScoreDifference and HighReductionInHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MontgomeryAsbergDepressionRating and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and TissueMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDifference and ForcedExperiatoryVolume and GeneExpressionDifference and HamiltonDepressionScoreDifference and HighReductionInHamiltonDepressionScore and ModerateMontgomeryAsbergDepressionRating and ModerateReductionInHamiltonAnxietyScore and MontgomeryAsbergDepressionRating and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and TissueMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDifference and BodyMassIndexMeasure and ForcedExperiatoryVolume and GeneExpressionDifference and HamiltonDepressionScoreDifference and HighReductionInHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MontgomeryAsbergDepressionRating and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and TissueMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDifference and ForcedExperiatoryVolume and GeneExpressionDifference and HamiltonDepressionScoreDifference and HighReductionInHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MontgomeryAsbergDepressionRating and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and SimilarDiseaseSusceptibilityOdds and TissueMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDifference and ForcedExperiatoryVolume and GeneExpressionDifference and HamiltonDepressionScoreDifference and HighReductionInHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MontgomeryAsbergDepressionRating and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyDifference and SatietyMeasure and TissueMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDifference and ForcedExperiatoryVolume and GeneExpressionDifference and HamiltonDepressionScoreDifference and HighReductionInHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and ModerateReductionInMontgomeryAsbergDepressionRating and MontgomeryAsbergDepressionRating and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and TissueMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDifference and ForcedExperiatoryVolume and GeneExpressionDifference and HamiltonAnxietyScore and HamiltonDepressionScoreDifference and HighReductionInHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MontgomeryAsbergDepressionRating and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and TissueMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDifference and ForcedExperiatoryVolume and GeneExpressionDifference and HamiltonDepressionScoreDifference and HighReductionInHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MontgomeryAsbergDepressionRating and PharmacodynamicMeasure and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and TissueMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDifference and ForcedExperiatoryVolume and GeneExpressionDifference and HamiltonAnxietyScoreDifference and HamiltonDepressionScoreDifference and HighReductionInHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MontgomeryAsbergDepressionRating and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and TissueMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDifference and DrugEfficacy and ForcedExperiatoryVolume and GeneExpressionDifference and HamiltonDepressionScoreDifference and HighReductionInHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MontgomeryAsbergDepressionRating and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and TissueMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDifference and CoagulationProfile and ForcedExperiatoryVolume and GeneExpressionDifference and HamiltonDepressionScoreDifference and HighReductionInHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MontgomeryAsbergDepressionRating and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and TissueMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDifference and ForcedExperiatoryVolume and GeneExpressionDifference and HamiltonDepressionScoreDifference and HighReductionInHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MontgomeryAsbergDepressionRating and PulmonaryFunctionMeasure and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and TissueMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDifference and ForcedExperiatoryVolume and GeneExpressionDifference and HamiltonDepressionScoreDifference and HighReductionInHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MontgomeryAsbergDepressionRating and NormalGeneExpression and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and TissueMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDifference and ForcedExperiatoryVolume and GeneExpressionDifference and HamiltonDepressionScoreDifference and HighReductionInHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MontgomeryAsbergDepressionRating and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and SideEffectRate and TissueMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDifference and DepressionMeasure and ForcedExperiatoryVolume and GeneExpressionDifference and HamiltonDepressionScoreDifference and HighReductionInHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MontgomeryAsbergDepressionRating and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and TissueMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDecrease and BodyMassIndexDifference and ForcedExperiatoryVolume and GeneExpressionDifference and HamiltonDepressionScoreDifference and HighReductionInHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MontgomeryAsbergDepressionRating and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and TissueMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDifference and ForcedExperiatoryVolume and GeneExpressionDifference and HamiltonDepressionScoreDifference and HighDrugEfficacy and HighReductionInHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MontgomeryAsbergDepressionRating and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and TissueMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDifference and ForcedExperiatoryVolume and GeneExpressionDifference and HamiltonDepressionScoreDifference and HighReductionInHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MontgomeryAsbergDepressionRating and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and TissueMeasure and WeightMeasure and _24HourBloodPressure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndex and BodyMassIndexDifference and ForcedExperiatoryVolume and GeneExpressionDifference and HamiltonDepressionScoreDifference and HighReductionInHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MontgomeryAsbergDepressionRating and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and TissueMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDifference and DrugEfficacyMeasure and ForcedExperiatoryVolume and GeneExpressionDifference and HamiltonDepressionScoreDifference and HighReductionInHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MontgomeryAsbergDepressionRating and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and TissueMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BiophysicalMeasure and BodyMassIndexDifference and ForcedExperiatoryVolume and GeneExpressionDifference and HamiltonDepressionScoreDifference and HighReductionInHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MontgomeryAsbergDepressionRating and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and TissueMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDifference and ForcedExperiatoryVolume and GeneExpressionDifference and HamiltonDepressionScoreDifference and HighReductionInHamiltonDepressionScore and LowReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and MontgomeryAsbergDepressionRating and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and TissueMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDifference and ErythromycinClearanceMeasure and ForcedExperiatoryVolume and GeneExpressionDifference and HamiltonDepressionScoreDifference and HighReductionInHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MontgomeryAsbergDepressionRating and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and TissueMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDifference and ForcedExperiatoryVolume and GeneExpressionDifference and HamiltonDepressionScoreDifference and HighReductionInHamiltonDepressionScore and LowReductionInMontgomeryAsbergDepressionRating and ModerateReductionInHamiltonAnxietyScore and MontgomeryAsbergDepressionRating and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and TissueMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDifference and ForcedExperiatoryVolume and GeneExpressionDifference and HamiltonDepressionScoreDifference and HighReductionInHamiltonDepressionScore and ModerateReductionInChildDepressionScore and ModerateReductionInHamiltonAnxietyScore and MontgomeryAsbergDepressionRating and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and TissueMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentration and ASAAConcentrationIncrease and BodyMassIndexDifference and ForcedExperiatoryVolume and GeneExpressionDifference and HamiltonDepressionScoreDifference and HighReductionInHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MontgomeryAsbergDepressionRating and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and TissueMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDifference and ForcedExperiatoryVolume and GeneExpressionDifference and HamiltonDepressionScoreDifference and HighReductionInHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonDepressionScore and MontgomeryAsbergDepressionRating and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and TissueMeasure and WeightMeasure, \nHere
MolecularMeasure SubClassOf ASAAConcentrationIncrease and BodyMassIndexDifference and ForcedExperiatoryVolume and GeneExpressionDifference and HamiltonDepressionScoreDifference and HighReductionInHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and MontgomeryAsbergDepressionRating and QualityOfLife and RemissionFrequency and ReninAngiotensinSystemMeasure and Satiety and SatietyMeasure and SimilarRemissionOddsRatio and TissueMeasure and WeightMeasure, \nHere
DrugClearance and PathogenCount SubClassOf AsthmaFrequency, \nFalse
HomocysteineLevel and SideEffectRate SubClassOf ErythromycinClearanceMeasure, \nTrue
HomocysteineLevel and SideEffectRate SubClassOf Race, \nFalse
HomocysteineLevel and SideEffectRate SubClassOf LipidProfile, \nFalse
ChildDepressionScoreDifference and LowerDiseaseSusceptibilityOdds SubClassOf LowMontgomeryAsbergDepressionRating, \nFalse
ChildDepressionScoreDifference and HighReductionInHamiltonAnxietyScore SubClassOf GenotypeMeasure, \nFalse
DepressionMeasure and Dose SubClassOf BodyMassIndexMeasure, \nFalse
BodyMassIndexIncrease and DepressionMeasure SubClassOf LowerDiseaseSusceptibilityOdds, \nTrue
BodyMassIndexIncrease and DepressionMeasure SubClassOf ChildDepressionScore, \nTrue
BodyMassIndexIncrease SubClassOf ChildDepressionScore, \nFalse
DepressionMeasure SubClassOf ChildDepressionScore, \nTrue
DepressionMeasure SubClassOf RemissionFrequency, \nTrue
DepressionMeasure SubClassOf ChildDepressionScore and RemissionFrequency, \nTrue
DepressionMeasure SubClassOf SatietyFrequency, \nFalse
DepressionMeasure SubClassOf ModerateReductionInHamiltonAnxietyScore, \nTrue
DepressionMeasure SubClassOf ChildDepressionScore and ModerateReductionInHamiltonAnxietyScore and RemissionFrequency, \nTrue
DepressionMeasure SubClassOf ASAAConcentrationIncrease, \nFalse
DepressionMeasure SubClassOf ERVisitFrequency, \nTrue
DepressionMeasure SubClassOf ChildDepressionScore and ERVisitFrequency and ModerateReductionInHamiltonAnxietyScore and RemissionFrequency, \nHere
DepressionMeasure SubClassOf ForcedExperiatoryVolume, \nTrue
DepressionMeasure SubClassOf ChildDepressionScore and ForcedExperiatoryVolume and ModerateReductionInHamiltonAnxietyScore and RemissionFrequency, \nTrue
DepressionMeasure SubClassOf DailyBloodPressure, False
DepressionMeasure SubClassOf HighRemission, \nTrue
DepressionMeasure SubClassOf ChildDepressionScore and ForcedExperiatoryVolume and HighRemission and ModerateReductionInHamiltonAnxietyScore and RemissionFrequency, \nHere
DepressionMeasure SubClassOf WeigthDifference, \nFalse
DepressionMeasure SubClassOf GeneExpressionDifference, \nFalse
DepressionMeasure SubClassOf ExerciseResponse, \nTrue
DepressionMeasure SubClassOf ChildDepressionScore and ExerciseResponse and ForcedExperiatoryVolume and ModerateReductionInHamiltonAnxietyScore and RemissionFrequency, \nHere
DepressionMeasure SubClassOf NeoplasmFrequency, \nFalse
DepressionMeasure SubClassOf GenotypeMeasure, \nFalse
DepressionMeasure SubClassOf HighReductionInMontgomeryAsbergDepressionRating, \nTrue
DepressionMeasure SubClassOf ChildDepressionScore and ForcedExperiatoryVolume and HighReductionInMontgomeryAsbergDepressionRating and ModerateReductionInHamiltonAnxietyScore and RemissionFrequency, \nHere
DepressionMeasure SubClassOf QualityOfLife, \nTrue
DepressionMeasure SubClassOf ChildDepressionScore and ForcedExperiatoryVolume and ModerateReductionInHamiltonAnxietyScore and QualityOfLife and RemissionFrequency, \nHere
DepressionMeasure SubClassOf AirwayResponsivenessUsingMethacholine, \nTrue
DepressionMeasure SubClassOf AirwayResponsivenessUsingMethacholine and ChildDepressionScore and ForcedExperiatoryVolume and ModerateReductionInHamiltonAnxietyScore and RemissionFrequency, \nHere
DepressionMeasure SubClassOf HighReductionInHamiltonAnxietyScore, \nTrue
DepressionMeasure SubClassOf ChildDepressionScore and ForcedExperiatoryVolume and HighReductionInHamiltonAnxietyScore and ModerateReductionInHamiltonAnxietyScore and RemissionFrequency, \nHere
DepressionMeasure SubClassOf ModerateHamiltonDepressionScore, \nTrue
DepressionMeasure SubClassOf ChildDepressionScore and ForcedExperiatoryVolume and ModerateHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and RemissionFrequency, \nHere
DepressionMeasure SubClassOf LowReductionInChildDepressionScore, \nTrue
DepressionMeasure SubClassOf ChildDepressionScore and ForcedExperiatoryVolume and LowReductionInChildDepressionScore and ModerateReductionInHamiltonAnxietyScore and RemissionFrequency, \nHere
DepressionMeasure SubClassOf BodyMassIndexDifference, False
DepressionMeasure SubClassOf HighHamiltonDepressionScore, \nTrue
DepressionMeasure SubClassOf ChildDepressionScore and ForcedExperiatoryVolume and HighHamiltonDepressionScore and ModerateReductionInHamiltonAnxietyScore and RemissionFrequency, \nHere
DepressionMeasure SubClassOf HigherDiseaseSusceptibiltyOdds, \nTrue
DepressionMeasure SubClassOf ChildDepressionScore and ForcedExperiatoryVolume and HigherDiseaseSusceptibiltyOdds and ModerateReductionInHamiltonAnxietyScore and RemissionFrequency, \nHere
DepressionMeasure SubClassOf ForcedVitalCapacity, \nFalse
DepressionMeasure SubClassOf HamiltonDepressionMeasure, \nTrue
DepressionMeasure SubClassOf ChildDepressionScore and ForcedExperiatoryVolume and HamiltonDepressionMeasure and ModerateReductionInHamiltonAnxietyScore and RemissionFrequency, \nHere
DepressionMeasure SubClassOf PlasmaDrugConcentration, \nFalse
DepressionMeasure SubClassOf ElectrocardiogramQTInterval, \nFalse
DepressionMeasure SubClassOf PharmacokineticMeasure, \nTrue
DepressionMeasure SubClassOf ChildDepressionScore and ForcedExperiatoryVolume and ModerateReductionInHamiltonAnxietyScore and PharmacokineticMeasure and RemissionFrequency, \nHere
DepressionMeasure SubClassOf LowMontgomeryAsbergDepressionRating, \nTrue
DepressionMeasure SubClassOf ChildDepressionScore and ForcedExperiatoryVolume and LowMontgomeryAsbergDepressionRating and ModerateReductionInHamiltonAnxietyScore and RemissionFrequency, \nHere
DepressionMeasure SubClassOf RemissionMeasure, \nTrue
DepressionMeasure SubClassOf ChildDepressionScore and ForcedExperiatoryVolume and ModerateReductionInHamiltonAnxietyScore and RemissionFrequency and RemissionMeasure, \nHere
DepressionMeasure SubClassOf BiologicalMeasure, \nTrue
DepressionMeasure SubClassOf BiologicalMeasure and ChildDepressionScore and ForcedExperiatoryVolume and ModerateReductionInHamiltonAnxietyScore and RemissionFrequency, \nHere
DepressionMeasure SubClassOf GeneExpressionMeasure, \nFalse
DepressionMeasure SubClassOf CellCount, False
DepressionMeasure SubClassOf ASAAMeasure, \nTrue
DepressionMeasure SubClassOf ASAAMeasure and ChildDepressionScore and ForcedExperiatoryVolume and ModerateReductionInHamiltonAnxietyScore and RemissionFrequency, \nHere
DepressionMeasure SubClassOf PopulationVariation, \nFalse
DepressionMeasure SubClassOf MetabolicMeasure, False
DepressionMeasure SubClassOf TaxonomicMeasure, \nTrue
DepressionMeasure SubClassOf ChildDepressionScore and ForcedExperiatoryVolume and ModerateReductionInHamiltonAnxietyScore and RemissionFrequency and TaxonomicMeasure, \nTrue
DepressionMeasure SubClassOf LowRemission, False
DepressionMeasure SubClassOf DrugClearance, \nFalse
DepressionMeasure SubClassOf ASAAConcentrationDifference, \nFalse
DepressionMeasure SubClassOf MontgomeryAsbergDepressionRatingDifference, \nTrue
DepressionMeasure SubClassOf ChildDepressionScore and ForcedExperiatoryVolume and ModerateReductionInHamiltonAnxietyScore and MontgomeryAsbergDepressionRatingDifference and RemissionFrequency and TaxonomicMeasure, \nHere
DepressionMeasure SubClassOf ASAAConcentrationDecrease, \nFalse
DepressionMeasure SubClassOf ModerateMontgomeryAsbergDepressionRating, \nTrue
DepressionMeasure SubClassOf ChildDepressionScore and ForcedExperiatoryVolume and ModerateMontgomeryAsbergDepressionRating and ModerateReductionInHamiltonAnxietyScore and RemissionFrequency and TaxonomicMeasure, \nHere
DepressionMeasure SubClassOf BodyMassIndexMeasure, \nFalse
DepressionMeasure SubClassOf IncreasedGeneExpression, \nTrue
DepressionMeasure SubClassOf ChildDepressionScore and ForcedExperiatoryVolume and IncreasedGeneExpression and ModerateReductionInHamiltonAnxietyScore and RemissionFrequency and TaxonomicMeasure, \nHere
DepressionMeasure SubClassOf PathogenCount, False
DepressionMeasure SubClassOf SimilarDiseaseSusceptibilityOdds, \nTrue
DepressionMeasure SubClassOf ChildDepressionScore and ForcedExperiatoryVolume and ModerateReductionInHamiltonAnxietyScore and RemissionFrequency and SimilarDiseaseSusceptibilityOdds and TaxonomicMeasure, \nHere
DepressionMeasure SubClassOf SatietyDifference, False
DepressionMeasure SubClassOf DiseaseFrequency, \nTrue
DepressionMeasure SubClassOf ChildDepressionScore and DiseaseFrequency and ForcedExperiatoryVolume and ModerateReductionInHamiltonAnxietyScore and RemissionFrequency and TaxonomicMeasure, \nHere
DepressionMeasure SubClassOf MontgomeryAsbergDepressionMeasure, \nTrue
DepressionMeasure SubClassOf ChildDepressionScore and ForcedExperiatoryVolume and ModerateReductionInHamiltonAnxietyScore and MontgomeryAsbergDepressionMeasure and RemissionFrequency and TaxonomicMeasure, \nHere
DepressionMeasure SubClassOf CognitiveMeasure, \nFalse
DepressionMeasure SubClassOf ModerateReductionInMontgomeryAsbergDepressionRating, \nTrue
DepressionMeasure SubClassOf ChildDepressionScore and ForcedExperiatoryVolume and ModerateReductionInHamiltonAnxietyScore and ModerateReductionInMontgomeryAsbergDepressionRating and RemissionFrequency and TaxonomicMeasure, \nHere
DepressionMeasure SubClassOf HighMontgomeryAsbergDepressionRating, \nTrue
DepressionMeasure SubClassOf ChildDepressionScore and ForcedExperiatoryVolume and HighMontgomeryAsbergDepressionRating and ModerateReductionInHamiltonAnxietyScore and RemissionFrequency and TaxonomicMeasure, \nTrue
