Can Crop that is also MarinePlant be considered a subcategory of 'Arthropod'?, \nFalse
Litter SubClassOf Animal and Coccolithophore and Crop and DominantSpecies and ExoticVegetation and Leaf and Liverwort and Plankton and Sponge and VegetationCover, \nHere
Litter SubClassOf Algae and Animal and Coccolithophore and DominantSpecies and ExoticVegetation and Leaf and Liverwort and Plankton and Sponge and VegetationCover, \nFalse
Litter SubClassOf Animal and Arthropod and Coccolithophore and DominantSpecies and ExoticVegetation and Leaf and Liverwort and Plankton and Sponge and VegetationCover, \nFalse
Litter SubClassOf Animal and Coccolithophore and DominantSpecies and Echinoderm and ExoticVegetation and Leaf and Liverwort and Plankton and Sponge and VegetationCover, \nHere
Litter SubClassOf Animal and Coccolithophore and DominantSpecies and ExoticVegetation and Leaf and Liverwort and Plankton and Plant and Sponge and VegetationCover, \nHere
Litter SubClassOf Animal and Coccolithophore and DominantSpecies and ExoticVegetation and Insect and Leaf and Liverwort and Plankton and Sponge and VegetationCover, \nHere
Crop and Plant SubClassOf Reptile, \nFalse
Animal and Dairy SubClassOf BlueGreenAlgae, \nFalse
Yeast and Zooplankton SubClassOf VegetationCover, \nFalse
EvergreenVegetation and MarineInvertebrate SubClassOf Sponge, \nFalse
Fungi and Millipede SubClassOf Phytoplankton, \nFalse
Algae and Fish SubClassOf VegetationSpecies, \nFalse
Fern and Plankton SubClassOf Lichen, \nFalse
MarineMicrobiota and Nutrient SubClassOf Flatworm, \nFalse
Insect and Poultry SubClassOf Yeast, \nFalse
Coccolithophore and ExoticVegetation SubClassOf Algae, \nTrue
Coccolithophore and ExoticVegetation SubClassOf VegetationCover, \nFalse
Coccolithophore and ExoticVegetation SubClassOf Microalgae, \nTrue
ExoticVegetation SubClassOf Microalgae, \nFalse
Coccolithophore SubClassOf Microalgae, \nTrue
Coccolithophore SubClassOf VegetationCover, \nFalse
Coccolithophore SubClassOf Fungi, \nFalse
Coccolithophore SubClassOf Arachnid, \nFalse
Coccolithophore SubClassOf VegetationSpecies, \nFalse
Coccolithophore SubClassOf Livestock, \nFalse
Coccolithophore SubClassOf Sponge, \nFalse
Coccolithophore SubClassOf Flatworm, \nFalse
Coccolithophore SubClassOf Diatom, \nTrue
Coccolithophore SubClassOf Diatom and Microalgae, \nFalse
Coccolithophore SubClassOf FungiTaxonomy, \nFalse
Coccolithophore SubClassOf MarinePlant, \nTrue
Coccolithophore SubClassOf MarinePlant and Microalgae, \nTrue
Coccolithophore SubClassOf Moss, \nFalse
Coccolithophore SubClassOf Vertebrate, \nFalse
Coccolithophore SubClassOf Radiolarian, \nTrue
Coccolithophore SubClassOf MarinePlant and Microalgae and Radiolarian, \nFalse
Coccolithophore SubClassOf Human, \nFalse
Coccolithophore SubClassOf MarineMicrobiota, \nFalse
Coccolithophore SubClassOf Animal, \nFalse
Coccolithophore SubClassOf Flagellate, \nTrue
Coccolithophore SubClassOf Flagellate and MarinePlant and Microalgae, \nFalse
Coccolithophore SubClassOf Poultry, \nFalse
Coccolithophore SubClassOf MarineMammal, \nFalse
Coccolithophore SubClassOf Amphibian, \nFalse
Coccolithophore SubClassOf Millipede, \nFalse
Coccolithophore SubClassOf Plankton, \nTrue
Coccolithophore SubClassOf MarinePlant and Microalgae and Plankton, \nTrue
Coccolithophore SubClassOf Roundworm, \nFalse
Coccolithophore SubClassOf Microphyte, \nTrue
Coccolithophore SubClassOf MarinePlant and Microalgae and Microphyte and Plankton, \nTrue
Coccolithophore SubClassOf SlimeMold, \nFalse
Coccolithophore SubClassOf Microbiota, \nTrue
Coccolithophore SubClassOf MarinePlant and Microalgae and Microbiota and Microphyte and Plankton, \nFalse
Coccolithophore SubClassOf MicrobiotaTaxonomy, \nTrue
Coccolithophore SubClassOf MarinePlant and Microalgae and MicrobiotaTaxonomy and Microphyte and Plankton, \nTrue
Coccolithophore SubClassOf Lichen, \nFalse
Coccolithophore SubClassOf Leaf, \nFalse
Coccolithophore SubClassOf Pollen, \nFalse
Coccolithophore SubClassOf Mushroom, \nFalse
Coccolithophore SubClassOf Fish, \nFalse
Coccolithophore SubClassOf Reptile, \nFalse
Coccolithophore SubClassOf MarineAnimal, \nTrue
Coccolithophore SubClassOf MarineAnimal and MarinePlant and Microalgae and MicrobiotaTaxonomy and Microphyte and Plankton, \nFalse
Coccolithophore SubClassOf Macroalgae, \nFalse
Coccolithophore SubClassOf Foraminifer, \nFalse
Coccolithophore SubClassOf Dairy, \nFalse
Coccolithophore SubClassOf Liverwort, \nFalse
Coccolithophore SubClassOf Crustacean, \nFalse
Coccolithophore SubClassOf Canopy, \nFalse
Coccolithophore SubClassOf Coral, \nFalse
Coccolithophore SubClassOf ExoticVegetation, \nFalse
Coccolithophore SubClassOf Macrophyte, \nFalse
Coccolithophore SubClassOf SegmentedWorm, \nFalse
Coccolithophore SubClassOf LivingThing, \nTrue
Coccolithophore SubClassOf LivingThing and MarinePlant and Microalgae and MicrobiotaTaxonomy and Microphyte and Plankton, \nTrue
Coccolithophore SubClassOf Bird, \nFalse
Coccolithophore SubClassOf Fern, \nFalse
Coccolithophore SubClassOf DominantSpecies, \nTrue
Coccolithophore SubClassOf DominantSpecies and LivingThing and MarinePlant and Microalgae and MicrobiotaTaxonomy and Microphyte and Plankton, \nTrue
Coccolithophore SubClassOf BlueGreenAlgae, \nTrue
Coccolithophore SubClassOf BlueGreenAlgae and DominantSpecies and LivingThing and MarinePlant and Microalgae and MicrobiotaTaxonomy and Microphyte and Plankton, \nTrue
Coccolithophore SubClassOf EvergreenVegetation, \nFalse
Coccolithophore SubClassOf TreeRing, \nFalse
Coccolithophore SubClassOf Vegetation, \nFalse
Coccolithophore SubClassOf ExoticSpecies, \nFalse
Coccolithophore SubClassOf Litter, \nFalse
Coccolithophore SubClassOf Crown, \nTrue
Coccolithophore SubClassOf BlueGreenAlgae and Crown and DominantSpecies and LivingThing and MarinePlant and Microalgae and MicrobiotaTaxonomy and Microphyte and Plankton, \nTrue
Coccolithophore SubClassOf Jellyfish, \nFalse
Coccolithophore SubClassOf Invertebrate, \nTrue
Coccolithophore SubClassOf BlueGreenAlgae and Crown and DominantSpecies and Invertebrate and LivingThing and MarinePlant and Microalgae and MicrobiotaTaxonomy and Microphyte and Plankton, \nTrue
Coccolithophore SubClassOf Anemone, \nFalse
Coccolithophore SubClassOf Ciliate, \nTrue
Coccolithophore SubClassOf BlueGreenAlgae and Ciliate and Crown and DominantSpecies and Invertebrate and LivingThing and MarinePlant and Microalgae and MicrobiotaTaxonomy and Microphyte and Plankton, \nTrue
Coccolithophore SubClassOf Zooplankton, \nTrue
Coccolithophore SubClassOf BlueGreenAlgae and Ciliate and Crown and DominantSpecies and Invertebrate and LivingThing and MarinePlant and Microalgae and MicrobiotaTaxonomy and Microphyte and Plankton and Zooplankton, \nFalse
Coccolithophore SubClassOf FloweringPlant, \nFalse
Coccolithophore SubClassOf Sporozoan, \nFalse
Coccolithophore SubClassOf IndigenousVegetation, \nTrue
Coccolithophore SubClassOf BlueGreenAlgae and Ciliate and Crown and DominantSpecies and IndigenousVegetation and Invertebrate and LivingThing and MarinePlant and Microalgae and MicrobiotaTaxonomy and Microphyte and Plankton, \nFalse
Coccolithophore SubClassOf Nutrient, \nFalse
Coccolithophore SubClassOf IndigenousSpecies, \nFalse
Coccolithophore SubClassOf MarineInvertebrate, \nTrue
Coccolithophore SubClassOf BlueGreenAlgae and Ciliate and Crown and DominantSpecies and Invertebrate and LivingThing and MarineInvertebrate and MarinePlant and Microalgae and MicrobiotaTaxonomy and Microphyte and Plankton, \nHere
Coccolithophore SubClassOf Conifer, \nFalse
Coccolithophore SubClassOf Yeast, \nFalse
Coccolithophore SubClassOf Mammal, \nFalse
Coccolithophore SubClassOf Protist, \nTrue
Coccolithophore SubClassOf BlueGreenAlgae and Ciliate and Crown and DominantSpecies and Invertebrate and LivingThing and MarinePlant and Microalgae and MicrobiotaTaxonomy and Microphyte and Plankton and Protist, \nFalse
Coccolithophore SubClassOf Centipede, \nFalse
Coccolithophore SubClassOf Crop, \nTrue
Coccolithophore SubClassOf BlueGreenAlgae and Ciliate and Crop and Crown and DominantSpecies and Invertebrate and LivingThing and MarinePlant and Microalgae and MicrobiotaTaxonomy and Microphyte and Plankton, \nFalse
Coccolithophore SubClassOf Algae, \nTrue
Coccolithophore SubClassOf Algae and BlueGreenAlgae and Ciliate and Crown and DominantSpecies and Invertebrate and LivingThing and MarinePlant and Microalgae and MicrobiotaTaxonomy and Microphyte and Plankton, \nHere
Coccolithophore SubClassOf Arthropod, \nFalse
Coccolithophore SubClassOf MarineBird, \nFalse
Coccolithophore SubClassOf Chlorophyll, \nFalse
Coccolithophore SubClassOf Mollusk, \nFalse
Coccolithophore SubClassOf Echinoderm, \nFalse
Coccolithophore SubClassOf Plant, \nFalse
Coccolithophore SubClassOf Amoebae, \nFalse
Coccolithophore SubClassOf Insect, \nFalse
Coccolithophore SubClassOf Mold, \nFalse
Coccolithophore SubClassOf Bacteria, \nFalse
Coccolithophore SubClassOf DeciduousVegetation, \nFalse
Coccolithophore SubClassOf Phytoplankton, \nTrue
Coccolithophore SubClassOf BlueGreenAlgae and Ciliate and Crown and DominantSpecies and Invertebrate and LivingThing and MarinePlant and Microalgae and MicrobiotaTaxonomy and Microphyte and Phytoplankton and Plankton, \nFalse
Coccolithophore SubClassOf BlueGreenAlgae and Ciliate and Crown and Diatom and DominantSpecies and Invertebrate and LivingThing and MarinePlant and Microalgae and MicrobiotaTaxonomy and Microphyte and Plankton, \nTrue
Coccolithophore SubClassOf BlueGreenAlgae and Ciliate and Crown and Diatom and DominantSpecies and Invertebrate and LivingThing and MarinePlant and Microalgae and MicrobiotaTaxonomy and Microphyte and Plankton and Radiolarian, \nFalse
Coccolithophore SubClassOf BlueGreenAlgae and Ciliate and Crown and Diatom and DominantSpecies and Flagellate and Invertebrate and LivingThing and MarinePlant and Microalgae and MicrobiotaTaxonomy and Microphyte and Plankton, \nFalse
Coccolithophore SubClassOf BlueGreenAlgae and Ciliate and Crown and Diatom and DominantSpecies and Invertebrate and LivingThing and MarinePlant and Microalgae and Microbiota and MicrobiotaTaxonomy and Microphyte and Plankton, \nTrue
Coccolithophore SubClassOf BlueGreenAlgae and Ciliate and Crown and Diatom and DominantSpecies and Invertebrate and LivingThing and MarineAnimal and MarinePlant and Microalgae and Microbiota and MicrobiotaTaxonomy and Microphyte and Plankton, \nFalse
Coccolithophore SubClassOf BlueGreenAlgae and Ciliate and Crown and Diatom and DominantSpecies and Invertebrate and LivingThing and MarinePlant and Microalgae and Microbiota and MicrobiotaTaxonomy and Microphyte and Plankton and Zooplankton, \nHere
Coccolithophore SubClassOf BlueGreenAlgae and Ciliate and Crown and Diatom and DominantSpecies and IndigenousVegetation and Invertebrate and LivingThing and MarinePlant and Microalgae and Microbiota and MicrobiotaTaxonomy and Microphyte and Plankton, \nFalse
Coccolithophore SubClassOf BlueGreenAlgae and Ciliate and Crown and Diatom and DominantSpecies and Invertebrate and LivingThing and MarineInvertebrate and MarinePlant and Microalgae and Microbiota and MicrobiotaTaxonomy and Microphyte and Plankton, \nTrue
Coccolithophore SubClassOf BlueGreenAlgae and Ciliate and Crown and Diatom and DominantSpecies and Invertebrate and LivingThing and MarineInvertebrate and MarinePlant and Microalgae and Microbiota and MicrobiotaTaxonomy and Microphyte and Plankton and Protist, \nTrue
Coccolithophore SubClassOf BlueGreenAlgae and Ciliate and Crop and Crown and Diatom and DominantSpecies and Invertebrate and LivingThing and MarineInvertebrate and MarinePlant and Microalgae and Microbiota and MicrobiotaTaxonomy and Microphyte and Plankton and Protist, \nHere
Coccolithophore SubClassOf Algae and BlueGreenAlgae and Ciliate and Crown and Diatom and DominantSpecies and Invertebrate and LivingThing and MarineInvertebrate and MarinePlant and Microalgae and Microbiota and MicrobiotaTaxonomy and Microphyte and Plankton and Protist, \nHere
Coccolithophore SubClassOf BlueGreenAlgae and Ciliate and Crown and Diatom and DominantSpecies and Invertebrate and LivingThing and MarineInvertebrate and MarinePlant and Microalgae and Microbiota and MicrobiotaTaxonomy and Microphyte and Phytoplankton and Plankton and Protist, \nTrue
MarineMammal and VegetationSpecies SubClassOf Fern, \nFalse
Algae and Fungi SubClassOf Dairy, \nFalse
Mollusk and Sporozoan SubClassOf Amphibian, \nFalse
DominantSpecies and Plant SubClassOf Centipede, \nFalse
Microalgae and Radiolarian SubClassOf Reptile, \nFalse
Human and Mushroom SubClassOf SlimeMold, \nFalse
DeciduousVegetation and Microphyte SubClassOf MicrobiotaTaxonomy, \nFalse
Arachnid and Crop SubClassOf FloweringPlant, \nFalse
Microbiota and Millipede SubClassOf SegmentedWorm, \nTrue
Microbiota and Millipede SubClassOf Microalgae, \nFalse
Microbiota and Millipede SubClassOf Arachnid, \nFalse
Microbiota and Millipede SubClassOf VegetationSpecies, \nFalse
Microbiota and Millipede SubClassOf Livestock, \nFalse
Microbiota and Millipede SubClassOf Sponge, \nFalse
Microbiota and Millipede SubClassOf Flatworm, \nFalse
Microbiota and Millipede SubClassOf Diatom, \nFalse
Microbiota and Millipede SubClassOf FungiTaxonomy, \nFalse
Microbiota and Millipede SubClassOf Moss, \nFalse
Microbiota and Millipede SubClassOf Vertebrate, \nFalse
Microbiota and Millipede SubClassOf Human, \nFalse
Microbiota and Millipede SubClassOf Animal, \nTrue
Millipede SubClassOf Animal and VegetationCover, \nFalse
Millipede SubClassOf Animal and Fungi, \nFalse
Millipede SubClassOf Animal and Arachnid, \nFalse
Millipede SubClassOf Animal and MarinePlant, \nTrue
Millipede SubClassOf Animal and MarinePlant and Radiolarian, \nFalse
Millipede SubClassOf Animal and MarineMicrobiota and MarinePlant, \nTrue
Millipede SubClassOf Animal and Flagellate and MarineMicrobiota and MarinePlant, \nTrue
Millipede SubClassOf Amphibian and Animal and Flagellate and MarineMicrobiota and MarinePlant, \nTrue
Millipede SubClassOf Amphibian and Animal and Flagellate and MarineMicrobiota and MarinePlant and Plankton, \nFalse
Millipede SubClassOf Amphibian and Animal and Flagellate and MarineMicrobiota and MarinePlant and Roundworm, \nHere
Millipede SubClassOf Amphibian and Animal and Flagellate and MarineMicrobiota and MarinePlant and Microphyte, \nFalse
Millipede SubClassOf Amphibian and Animal and Flagellate and Leaf and MarineMicrobiota and MarinePlant, \nThe
Millipede SubClassOf Amphibian and Animal and Flagellate and MarineMicrobiota and MarinePlant and Mushroom, \nHere
Millipede SubClassOf Amphibian and Animal and Flagellate and MarineAnimal and MarineMicrobiota and MarinePlant, \nHere
Millipede SubClassOf Amphibian and Animal and Flagellate and Liverwort and MarineMicrobiota and MarinePlant, \nFalse
Millipede SubClassOf Amphibian and Animal and Crustacean and Flagellate and MarineMicrobiota and MarinePlant, \nTrue
Millipede SubClassOf Amphibian and Animal and Canopy and Crustacean and Flagellate and MarineMicrobiota and MarinePlant, \nFalse
Millipede SubClassOf Amphibian and Animal and Crustacean and ExoticVegetation and Flagellate and MarineMicrobiota and MarinePlant, \nFalse
Millipede SubClassOf Amphibian and Animal and Crustacean and Flagellate and Macrophyte and MarineMicrobiota and MarinePlant, \nFalse
Millipede SubClassOf Amphibian and Animal and Crustacean and Flagellate and MarineMicrobiota and MarinePlant and SegmentedWorm, \nTrue
Millipede SubClassOf Amphibian and Animal and Crustacean and Flagellate and LivingThing and MarineMicrobiota and MarinePlant and SegmentedWorm, \nHere
Millipede SubClassOf Amphibian and Animal and Crustacean and Fern and Flagellate and MarineMicrobiota and MarinePlant and SegmentedWorm, \nFalse
Millipede SubClassOf Amphibian and Animal and Crustacean and EvergreenVegetation and Flagellate and MarineMicrobiota and MarinePlant and SegmentedWorm, \nHere
Millipede SubClassOf Amphibian and Animal and Crustacean and Flagellate and MarineMicrobiota and MarinePlant and SegmentedWorm and Vegetation, \nHere
Millipede SubClassOf Amphibian and Animal and Crustacean and ExoticSpecies and Flagellate and MarineMicrobiota and MarinePlant and SegmentedWorm, \nHere
Millipede SubClassOf Amphibian and Animal and Crustacean and Flagellate and Litter and MarineMicrobiota and MarinePlant and SegmentedWorm, \nFalse
Millipede SubClassOf Amphibian and Animal and Crown and Crustacean and Flagellate and MarineMicrobiota and MarinePlant and SegmentedWorm, \nHere
Millipede SubClassOf Amphibian and Animal and Crustacean and Flagellate and Invertebrate and MarineMicrobiota and MarinePlant and SegmentedWorm, \nTrue
Millipede SubClassOf Amphibian and Animal and Ciliate and Crustacean and Flagellate and Invertebrate and MarineMicrobiota and MarinePlant and SegmentedWorm, \nHere
Millipede SubClassOf Amphibian and Animal and Crustacean and Flagellate and Invertebrate and MarineMicrobiota and MarinePlant and SegmentedWorm and Zooplankton, \nFalse
Millipede SubClassOf Amphibian and Animal and Crustacean and Flagellate and Invertebrate and MarineMicrobiota and MarinePlant and SegmentedWorm and Sporozoan, \nFalse
Millipede SubClassOf Amphibian and Animal and Crustacean and Flagellate and Invertebrate and MarineInvertebrate and MarineMicrobiota and MarinePlant and SegmentedWorm, \nHere
Millipede SubClassOf Amphibian and Animal and Crustacean and Flagellate and Invertebrate and Mammal and MarineMicrobiota and MarinePlant and SegmentedWorm, \nTrue
Millipede SubClassOf Amphibian and Animal and Crustacean and Flagellate and Invertebrate and Mammal and MarineMicrobiota and MarinePlant and Protist and SegmentedWorm, \nFalse
Millipede SubClassOf Amphibian and Animal and Centipede and Crustacean and Flagellate and Invertebrate and Mammal and MarineMicrobiota and MarinePlant and SegmentedWorm, \nFalse
Millipede SubClassOf Amphibian and Animal and Arthropod and Crustacean and Flagellate and Invertebrate and Mammal and MarineMicrobiota and MarinePlant and SegmentedWorm, \nFalse
Millipede SubClassOf Amphibian and Animal and Crustacean and Flagellate and Invertebrate and Mammal and MarineMicrobiota and MarinePlant and Plant and SegmentedWorm, \nHere
Millipede SubClassOf Amphibian and Animal and Crustacean and Flagellate and Insect and Invertebrate and Mammal and MarineMicrobiota and MarinePlant and SegmentedWorm, \nHere
Millipede SubClassOf Amphibian and Animal and Crustacean and Flagellate and Invertebrate and Mammal and MarineMicrobiota and MarinePlant and Mold and SegmentedWorm, \nTrue
Millipede SubClassOf Amphibian and Animal and Arachnid and Crustacean and Flagellate and Fungi and Invertebrate and Liverwort and Mammal and MarineAnimal and MarineMicrobiota and MarinePlant and Microphyte and Mold and Mushroom and Protist and Radiolarian and SegmentedWorm and VegetationCover, \nFalse
Millipede SubClassOf Amphibian and Animal and Crustacean and Flagellate and Fungi and Invertebrate and Liverwort and Mammal and MarineAnimal and MarineMicrobiota and MarinePlant and Microphyte and Mold and Mushroom and Plankton and Protist and Radiolarian and SegmentedWorm and VegetationCover, \nThe
Millipede SubClassOf Amphibian and Animal and Crustacean and Flagellate and Fungi and Invertebrate and Liverwort and Mammal and MarineAnimal and MarineMicrobiota and MarinePlant and Microphyte and Mold and Mushroom and Protist and Radiolarian and Roundworm and SegmentedWorm and VegetationCover, \nFalse
Millipede SubClassOf Amphibian and Animal and Crustacean and Flagellate and Fungi and Invertebrate and Leaf and Liverwort and Mammal and MarineAnimal and MarineMicrobiota and MarinePlant and Microphyte and Mold and Mushroom and Protist and Radiolarian and SegmentedWorm and VegetationCover, \nFalse
Millipede SubClassOf Amphibian and Animal and Canopy and Crustacean and Flagellate and Fungi and Invertebrate and Liverwort and Mammal and MarineAnimal and MarineMicrobiota and MarinePlant and Microphyte and Mold and Mushroom and Protist and Radiolarian and SegmentedWorm and VegetationCover, \nHere
Millipede SubClassOf Amphibian and Animal and Crustacean and ExoticVegetation and Flagellate and Fungi and Invertebrate and Liverwort and Mammal and MarineAnimal and MarineMicrobiota and MarinePlant and Microphyte and Mold and Mushroom and Protist and Radiolarian and SegmentedWorm and VegetationCover, \nFalse
Millipede SubClassOf Amphibian and Animal and Crustacean and Flagellate and Fungi and Invertebrate and Liverwort and Macrophyte and Mammal and MarineAnimal and MarineMicrobiota and MarinePlant and Microphyte and Mold and Mushroom and Protist and Radiolarian and SegmentedWorm and VegetationCover, \nFalse
Millipede SubClassOf Amphibian and Animal and Crustacean and Flagellate and Fungi and Invertebrate and Liverwort and LivingThing and Mammal and MarineAnimal and MarineMicrobiota and MarinePlant and Microphyte and Mold and Mushroom and Protist and Radiolarian and SegmentedWorm and VegetationCover, \nHere
Millipede SubClassOf Amphibian and Animal and Crustacean and Fern and Flagellate and Fungi and Invertebrate and Liverwort and Mammal and MarineAnimal and MarineMicrobiota and MarinePlant and Microphyte and Mold and Mushroom and Protist and Radiolarian and SegmentedWorm and VegetationCover, \nHere
Millipede SubClassOf Amphibian and Animal and Crustacean and EvergreenVegetation and Flagellate and Fungi and Invertebrate and Liverwort and Mammal and MarineAnimal and MarineMicrobiota and MarinePlant and Microphyte and Mold and Mushroom and Protist and Radiolarian and SegmentedWorm and VegetationCover, \nThe
Millipede SubClassOf Amphibian and Animal and Crustacean and Flagellate and Fungi and Invertebrate and Liverwort and Mammal and MarineAnimal and MarineMicrobiota and MarinePlant and Microphyte and Mold and Mushroom and Protist and Radiolarian and SegmentedWorm and Vegetation and VegetationCover, \nHere
Millipede SubClassOf Amphibian and Animal and Crustacean and ExoticSpecies and Flagellate and Fungi and Invertebrate and Liverwort and Mammal and MarineAnimal and MarineMicrobiota and MarinePlant and Microphyte and Mold and Mushroom and Protist and Radiolarian and SegmentedWorm and VegetationCover, \nMill
Millipede SubClassOf Amphibian and Animal and Crustacean and Flagellate and Fungi and Invertebrate and Litter and Liverwort and Mammal and MarineAnimal and MarineMicrobiota and MarinePlant and Microphyte and Mold and Mushroom and Protist and Radiolarian and SegmentedWorm and VegetationCover, \nTrue
Millipede SubClassOf Amphibian and Animal and Crown and Crustacean and Flagellate and Fungi and Invertebrate and Litter and Liverwort and Mammal and MarineAnimal and MarineMicrobiota and MarinePlant and Microphyte and Mold and Mushroom and Protist and Radiolarian and SegmentedWorm and VegetationCover, \nHere
Millipede SubClassOf Amphibian and Animal and Ciliate and Crustacean and Flagellate and Fungi and Invertebrate and Litter and Liverwort and Mammal and MarineAnimal and MarineMicrobiota and MarinePlant and Microphyte and Mold and Mushroom and Protist and Radiolarian and SegmentedWorm and VegetationCover, \nHere
Millipede SubClassOf Amphibian and Animal and Crustacean and Flagellate and Fungi and Invertebrate and Litter and Liverwort and Mammal and MarineAnimal and MarineMicrobiota and MarinePlant and Microphyte and Mold and Mushroom and Protist and Radiolarian and SegmentedWorm and VegetationCover and Zooplankton, \nHere
Millipede SubClassOf Amphibian and Animal and Crustacean and Flagellate and Fungi and Invertebrate and Litter and Liverwort and Mammal and MarineAnimal and MarineMicrobiota and MarinePlant and Microphyte and Mold and Mushroom and Protist and Radiolarian and SegmentedWorm and Sporozoan and VegetationCover, \nHere
Millipede SubClassOf Amphibian and Animal and Crustacean and Flagellate and Fungi and Invertebrate and Litter and Liverwort and Mammal and MarineAnimal and MarineInvertebrate and MarineMicrobiota and MarinePlant and Microphyte and Mold and Mushroom and Protist and Radiolarian and SegmentedWorm and VegetationCover, \n statement
Millipede SubClassOf Amphibian and Animal and Centipede and Crustacean and Flagellate and Fungi and Invertebrate and Litter and Liverwort and Mammal and MarineAnimal and MarineMicrobiota and MarinePlant and Microphyte and Mold and Mushroom and Protist and Radiolarian and SegmentedWorm and VegetationCover, \nThe
Millipede SubClassOf Amphibian and Animal and Arthropod and Crustacean and Flagellate and Fungi and Invertebrate and Litter and Liverwort and Mammal and MarineAnimal and MarineMicrobiota and MarinePlant and Microphyte and Mold and Mushroom and Protist and Radiolarian and SegmentedWorm and VegetationCover, \nHere
Millipede SubClassOf Amphibian and Animal and Crustacean and Flagellate and Fungi and Invertebrate and Litter and Liverwort and Mammal and MarineAnimal and MarineMicrobiota and MarinePlant and Microphyte and Mold and Mushroom and Plant and Protist and Radiolarian and SegmentedWorm and VegetationCover, \nHere
Millipede SubClassOf Amphibian and Animal and Crustacean and Flagellate and Fungi and Insect and Invertebrate and Litter and Liverwort and Mammal and MarineAnimal and MarineMicrobiota and MarinePlant and Microphyte and Mold and Mushroom and Protist and Radiolarian and SegmentedWorm and VegetationCover, \nFalse
Animal and Liverwort SubClassOf Millipede, \nFalse
Insect and Zooplankton SubClassOf Poultry, \nFalse
MarineInvertebrate and Roundworm SubClassOf Insect, \nFalse
Invertebrate and Pollen SubClassOf Vegetation, \nFalse
Plankton and Vegetation SubClassOf Mold, \nFalse
Amphibian and Centipede SubClassOf Leaf, \nFalse
DominantSpecies and Vegetation SubClassOf MarineAnimal, \nFalse
Bacteria and Sponge SubClassOf Centipede, \nFalse
Arthropod and SegmentedWorm SubClassOf Fern, \nFalse
Bird and Coral SubClassOf ExoticSpecies, \nFalse
Livestock and SlimeMold SubClassOf Conifer, \nFalse
EvergreenVegetation and Microbiota SubClassOf MarineInvertebrate, \nFalse
ExoticVegetation and Nutrient SubClassOf DeciduousVegetation, \nFalse
Arachnid and Centipede SubClassOf Diatom, \nFalse
Liverwort and Microphyte SubClassOf Animal, \nFalse
IndigenousVegetation and Protist SubClassOf Arthropod, \nFalse
MarineAnimal and Reptile SubClassOf Amphibian, \nFalse
Fish and Microphyte SubClassOf Flatworm, \nFalse
Poultry and Roundworm SubClassOf Lichen, \nFalse
Arthropod and Radiolarian SubClassOf Fern, \nFalse
Human and MarinePlant SubClassOf IndigenousVegetation, \nFalse
DeciduousVegetation and MarineBird SubClassOf IndigenousSpecies, \nFalse
Crustacean and FungiTaxonomy SubClassOf Dairy, \nFalse
Crop and SegmentedWorm SubClassOf Chlorophyll, \nFalse
IndigenousSpecies and Microbiota SubClassOf Pollen, \nFalse
Liverwort and Reptile SubClassOf MarineAnimal, \nFalse
Flagellate and VegetationSpecies SubClassOf Mollusk, \nFalse
Coral and Livestock SubClassOf Nutrient, \nFalse
Plankton and Vegetation SubClassOf MarineMammal, \nFalse
Flatworm and Mollusk SubClassOf Microalgae, \nFalse
Fungi and MarineBird SubClassOf Microphyte, \nTrue
Fungi and MarineBird SubClassOf VegetationCover, \nFalse
Fungi and MarineBird SubClassOf Microalgae, \nFalse
Fungi and MarineBird SubClassOf Arachnid, \nFalse
Fungi and MarineBird SubClassOf VegetationSpecies, \nFalse
Fungi and MarineBird SubClassOf Livestock, \nFalse
Fungi and MarineBird SubClassOf Sponge, \nFalse
Fungi and MarineBird SubClassOf Flatworm, \nFalse
Fungi and MarineBird SubClassOf Diatom, \nFalse
Fungi and MarineBird SubClassOf FungiTaxonomy, \nFalse
Fungi and MarineBird SubClassOf MarinePlant, \nFalse
Fungi and MarineBird SubClassOf Moss, \nFalse
Fungi and MarineBird SubClassOf Vertebrate, \nFalse
Fungi and MarineBird SubClassOf Radiolarian, \nFalse
Fungi and MarineBird SubClassOf Human, \nFalse
Fungi and MarineBird SubClassOf MarineMicrobiota, \nFalse
Fungi and MarineBird SubClassOf Animal, \nTrue
MarineBird SubClassOf Animal, \nTrue
MarineBird SubClassOf VegetationCover, \nFalse
MarineBird SubClassOf Microalgae, \nFalse
MarineBird SubClassOf Fungi, \nFalse
MarineBird SubClassOf Arachnid, \nFalse
MarineBird SubClassOf VegetationSpecies, \nFalse
MarineBird SubClassOf Livestock, \nFalse
MarineBird SubClassOf Sponge, \nFalse
MarineBird SubClassOf Flatworm, \nFalse
MarineBird SubClassOf Diatom, False
MarineBird SubClassOf FungiTaxonomy, \nFalse
MarineBird SubClassOf MarinePlant, \nFalse
MarineBird SubClassOf Moss, \nFalse
MarineBird SubClassOf Vertebrate, \nTrue
MarineBird SubClassOf Animal and Vertebrate, \nTrue
MarineBird SubClassOf Radiolarian, \nFalse
MarineBird SubClassOf Human, \nTrue
MarineBird SubClassOf Animal and Human and Vertebrate, \nFalse
MarineBird SubClassOf MarineMicrobiota, \nTrue
MarineBird SubClassOf Animal and MarineMicrobiota and Vertebrate, \nTrue
MarineBird SubClassOf Flagellate, \nFalse
MarineBird SubClassOf Poultry, \nTrue
