Neuron and StructuralCell SubClassOf Erythrocyte, \nFalse
CellByClass SubClassOf PhotosyntheticCell, \nFalse
CellByClass SubClassOf Cell, \nTrue
CellByClass SubClassOf SclerenchymaCell, \nFalse
CellByClass SubClassOf LeafCell, \nFalse
CellByClass SubClassOf CirculatingCell, \nFalse
CellByClass SubClassOf PlantCell, False
CellByClass SubClassOf MatureCell, \nTrue
CellByClass SubClassOf AnimalCell, \nFalse
CellByClass SubClassOf Cell and MatureCell, False
CellByClass SubClassOf Miocyte, \nFalse
CellByClass SubClassOf InMatureCell, \nFalse
CellByClass SubClassOf Osteocyte, \nFalse
CellByClass SubClassOf ChondroBlast, \nTrue
CellByClass SubClassOf ChondroBlast and MatureCell, \nTrue
CellByClass SubClassOf CellByDevelopmentStage, \nFalse
CellByClass SubClassOf PhotoreceptorCell, \nFalse
CellByClass SubClassOf CellByOrganism, \nFalse
CellByClass SubClassOf ElectricallyActiveCell, \nTrue
CellByClass SubClassOf ChondroBlast and ElectricallyActiveCell and MatureCell, \nTrue
CellByClass SubClassOf StructuralCell, \nFalse
CellByClass SubClassOf Neuron, False
CellByClass SubClassOf ChondroCyte, \nFalse
CellByClass SubClassOf Cell and ChondroBlast and ElectricallyActiveCell and MatureCell, \nTrue
Can Neuron that is also StructuralCell be considered a subcategory of 'Erythrocyte'?, \nFalse
Can ElectricallyActiveCell that is also StructuralCell be considered a subcategory of 'Erythrocyte'?, \nTrue
Can ElectricallyActiveCell that is also StructuralCell be considered a subcategory of 'SclerenchymaCell'?, \nTrue
Can ElectricallyActiveCell be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can StructuralCell be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can CellByDevelopmentStage that is also InMatureCell be considered a subcategory of 'Osteocyte'?, \nTrue
Can CellByDevelopmentStage that is also InMatureCell be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can CellByDevelopmentStage that is also InMatureCell be considered a subcategory of 'LeafCell'?, \nFalse
Can CellByDevelopmentStage that is also InMatureCell be considered a subcategory of 'Erythrocyte'?, \nFalse
Can CellByDevelopmentStage that is also InMatureCell be considered a subcategory of 'PhotosyntheticCell'?, \nFalse
Can CellByDevelopmentStage that is also InMatureCell be considered a subcategory of 'CirculatingCell'?, \nFalse
Can CellByDevelopmentStage that is also InMatureCell be considered a subcategory of 'PlantCell'?, \nFalse
Can CellByDevelopmentStage that is also InMatureCell be considered a subcategory of 'CellByClass'?, \nFalse
Can CellByDevelopmentStage that is also InMatureCell be considered a subcategory of 'MatureCell'?, \nFalse
Can CellByDevelopmentStage that is also InMatureCell be considered a subcategory of 'AnimalCell'?, \nTrue
Can InMatureCell be considered a subcategory of 'AnimalCell'?, \nFalse
Can CellByDevelopmentStage be considered a subcategory of 'AnimalCell'?, \nFalse
Can Miocyte that is also StructuralCell be considered a subcategory of 'LeafCell'?, \nTrue
Can Miocyte that is also StructuralCell be considered a subcategory of 'SclerenchymaCell'?, \nTrue
Can Miocyte be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can CellByDevelopmentStage that is also LeafCell be considered a subcategory of 'AnimalCell'?, \nFalse
Can CellByDevelopmentStage that is also ChondroBlast be considered a subcategory of 'Osteocyte'?, \nFalse
Can Cell that is also MatureCell be considered a subcategory of 'Osteocyte'?, \nTrue
Can Cell that is also MatureCell be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can Cell that is also MatureCell be considered a subcategory of 'LeafCell'?, \nFalse
Can Cell that is also MatureCell be considered a subcategory of 'Erythrocyte'?, \nFalse
Can Cell that is also MatureCell be considered a subcategory of 'PhotosyntheticCell'?, \nTrue
Can Cell be considered a subcategory of 'PhotosyntheticCell'?, \nTrue
Can Cell be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can Cell be considered a subcategory of 'LeafCell'?, \nFalse
Can Cell be considered a subcategory of 'Erythrocyte'?, \nFalse
Can Cell be considered a subcategory of 'CirculatingCell'?, \nFalse
Can Cell be considered a subcategory of 'PlantCell'?, \nFalse
Can Cell be considered a subcategory of 'CellByClass'?, \nFalse
Can Cell be considered a subcategory of 'MatureCell'?, \nFalse
Can Cell be considered a subcategory of 'AnimalCell'?, \nFalse
Can Cell be considered a subcategory of 'Miocyte'?, \nFalse
Can Cell be considered a subcategory of 'InMatureCell'?, \nFalse
Can Cell be considered a subcategory of 'Osteocyte'?, \nFalse
Can Cell be considered a subcategory of 'ChondroBlast'?, \nFalse
Can Cell be considered a subcategory of 'MioBlast'?, \nFalse
Can Cell be considered a subcategory of 'CellByDevelopmentStage'?, \nFalse
Can Cell be considered a subcategory of 'PhotoreceptorCell'?, \nFalse
Can Cell be considered a subcategory of 'CellByOrganism'?, \nTrue
Can Cell be considered a subcategory of 'CellByOrganism that is also PhotosyntheticCell'?, \nTrue
Can Cell be considered a subcategory of 'ElectricallyActiveCell'?, \nFalse
Can Cell be considered a subcategory of 'StructuralCell'?, \nTrue
Can Cell be considered a subcategory of 'CellByOrganism that is also PhotosyntheticCell that is also StructuralCell'?, \nTrue
Can Cell be considered a subcategory of 'Neuron'?, \nFalse
Can Cell be considered a subcategory of 'ChondroCyte'?, \nFalse
Can CellByClass that is also InMatureCell be considered a subcategory of 'AnimalCell'?, \nTrue
Can CellByClass that is also InMatureCell be considered a subcategory of 'SclerenchymaCell'?, \nTrue
Can InMatureCell be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can CellByClass be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can ChondroCyte that is also LeafCell be considered a subcategory of 'Neuron'?, \nFalse
Can CirculatingCell that is also LeafCell be considered a subcategory of 'Neuron'?, \nFalse
Can CellByOrganism that is also ChondroCyte be considered a subcategory of 'AnimalCell'?, \nFalse
Can Osteocyte that is also SclerenchymaCell be considered a subcategory of 'AnimalCell'?, \nFalse
Can InMatureCell that is also Miocyte be considered a subcategory of 'PhotosyntheticCell'?, \nTrue
Can InMatureCell that is also Miocyte be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can InMatureCell that is also Miocyte be considered a subcategory of 'LeafCell'?, \nTrue
Can Miocyte be considered a subcategory of 'LeafCell'?, \nFalse
Can InMatureCell be considered a subcategory of 'LeafCell'?, \nFalse
Can Cell that is also StructuralCell be considered a subcategory of 'SclerenchymaCell'?, \nTrue
Can InMatureCell that is also StructuralCell be considered a subcategory of 'ChondroCyte'?, \nTrue
Can InMatureCell that is also StructuralCell be considered a subcategory of 'SclerenchymaCell'?, \nTrue
Can AnimalCell that is also InMatureCell be considered a subcategory of 'ChondroCyte'?, \nFalse
Can CellByClass that is also ChondroBlast be considered a subcategory of 'ElectricallyActiveCell'?, \nFalse
Can CellByDevelopmentStage that is also Miocyte be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can Cell that is also PhotoreceptorCell be considered a subcategory of 'ElectricallyActiveCell'?, \nTrue
Can Cell that is also PhotoreceptorCell be considered a subcategory of 'LeafCell'?, \nFalse
Can Cell that is also PhotoreceptorCell be considered a subcategory of 'Erythrocyte'?, \nFalse
Can Cell that is also PhotoreceptorCell be considered a subcategory of 'CirculatingCell'?, \nFalse
Can Cell that is also PhotoreceptorCell be considered a subcategory of 'PlantCell'?, \nFalse
Can Cell that is also PhotoreceptorCell be considered a subcategory of 'CellByClass'?, \nFalse
Can Cell that is also PhotoreceptorCell be considered a subcategory of 'MatureCell'?, \nFalse
Can Cell that is also PhotoreceptorCell be considered a subcategory of 'AnimalCell'?, \nTrue
Can PhotoreceptorCell be considered a subcategory of 'AnimalCell'?, \nFalse
Can CirculatingCell that is also SclerenchymaCell be considered a subcategory of 'LeafCell'?, \nTrue
Can SclerenchymaCell be considered a subcategory of 'LeafCell'?, \nFalse
Can CirculatingCell be considered a subcategory of 'LeafCell'?, \nFalse
Can LeafCell that is also PhotosyntheticCell be considered a subcategory of 'PhotoreceptorCell'?, \nTrue
Can LeafCell that is also PhotosyntheticCell be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can LeafCell that is also PhotosyntheticCell be considered a subcategory of 'Erythrocyte'?, \nFalse
Can LeafCell that is also PhotosyntheticCell be considered a subcategory of 'CirculatingCell'?, \nFalse
Can LeafCell that is also PhotosyntheticCell be considered a subcategory of 'PlantCell'?, \nTrue
Can LeafCell be considered a subcategory of 'PlantCell'?, \nTrue
Can LeafCell be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can LeafCell be considered a subcategory of 'Erythrocyte'?, \nFalse
Can LeafCell be considered a subcategory of 'PhotosyntheticCell'?, \nTrue
Can LeafCell be considered a subcategory of 'PhotosyntheticCell that is also PlantCell'?, \nTrue
Can LeafCell be considered a subcategory of 'CirculatingCell'?, \nFalse
Can LeafCell be considered a subcategory of 'CellByClass'?, \nFalse
Can LeafCell be considered a subcategory of 'MatureCell'?, \nFalse
Can LeafCell be considered a subcategory of 'AnimalCell'?, \nFalse
Can LeafCell be considered a subcategory of 'Cell'?, \nFalse
Can LeafCell be considered a subcategory of 'Miocyte'?, \nFalse
Can LeafCell be considered a subcategory of 'InMatureCell'?, \nFalse
Can LeafCell be considered a subcategory of 'Osteocyte'?, \nFalse
Can LeafCell be considered a subcategory of 'ChondroBlast'?, \nFalse
Can LeafCell be considered a subcategory of 'MioBlast'?, \nFalse
Can LeafCell be considered a subcategory of 'CellByDevelopmentStage'?, \nFalse
Can LeafCell be considered a subcategory of 'PhotoreceptorCell'?, \nFalse
Can LeafCell be considered a subcategory of 'CellByOrganism'?, \nFalse
Can LeafCell be considered a subcategory of 'ElectricallyActiveCell'?, \nFalse
Can LeafCell be considered a subcategory of 'StructuralCell'?, \nTrue
Can LeafCell be considered a subcategory of 'PhotosyntheticCell that is also PlantCell that is also StructuralCell'?, \nFalse
Can LeafCell be considered a subcategory of 'Neuron'?, \nFalse
Can LeafCell be considered a subcategory of 'ChondroCyte'?, \nFalse
Can CellByDevelopmentStage that is also Osteocyte be considered a subcategory of 'PhotoreceptorCell'?, \nFalse
Can ChondroCyte be considered a subcategory of 'PhotoreceptorCell'?, \nFalse
Can Neuron that is also PlantCell be considered a subcategory of 'LeafCell'?, \nTrue
Can Neuron that is also PlantCell be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can PlantCell be considered a subcategory of 'LeafCell'?, \nFalse
Can Neuron be considered a subcategory of 'LeafCell'?, \nFalse
Can LeafCell that is also SclerenchymaCell be considered a subcategory of 'PhotoreceptorCell'?, \nFalse
Can CellByClass that is also Osteocyte be considered a subcategory of 'LeafCell'?, \nFalse
Can CellByOrganism that is also Osteocyte be considered a subcategory of 'StructuralCell'?, \nTrue
Can CellByOrganism that is also Osteocyte be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can CellByOrganism that is also Osteocyte be considered a subcategory of 'LeafCell'?, \nFalse
Can CellByOrganism that is also Osteocyte be considered a subcategory of 'Erythrocyte'?, \nFalse
Can CellByOrganism that is also Osteocyte be considered a subcategory of 'PhotosyntheticCell'?, \nFalse
Can CellByOrganism that is also Osteocyte be considered a subcategory of 'CirculatingCell'?, \nFalse
Can CellByOrganism that is also Osteocyte be considered a subcategory of 'PlantCell'?, \nFalse
Can CellByOrganism that is also Osteocyte be considered a subcategory of 'CellByClass'?, \nFalse
Can CellByOrganism that is also Osteocyte be considered a subcategory of 'MatureCell'?, \nTrue
Can Osteocyte be considered a subcategory of 'MatureCell'?, \nTrue
Can Osteocyte be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can Osteocyte be considered a subcategory of 'LeafCell'?, \nFalse
Can Osteocyte be considered a subcategory of 'Erythrocyte'?, \nFalse
Can Osteocyte be considered a subcategory of 'PhotosyntheticCell'?, \nFalse
Can Osteocyte be considered a subcategory of 'CirculatingCell'?, \nFalse
Can Osteocyte be considered a subcategory of 'PlantCell'?, \nFalse
Can Osteocyte be considered a subcategory of 'CellByClass'?, \nFalse
Can Osteocyte be considered a subcategory of 'AnimalCell'?, \nFalse
Can Osteocyte be considered a subcategory of 'Cell'?, \nTrue
Can Osteocyte be considered a subcategory of 'Cell that is also MatureCell'?, \nFalse
Can Osteocyte be considered a subcategory of 'Miocyte'?, \nFalse
Can Osteocyte be considered a subcategory of 'InMatureCell'?, \nFalse
Can Osteocyte be considered a subcategory of 'ChondroBlast'?, \nFalse
Can Osteocyte be considered a subcategory of 'MioBlast'?, \nFalse
Can Osteocyte be considered a subcategory of 'CellByDevelopmentStage'?, \nFalse
Can Osteocyte be considered a subcategory of 'PhotoreceptorCell'?, \nFalse
Can Osteocyte be considered a subcategory of 'CellByOrganism'?, \nFalse
Can Osteocyte be considered a subcategory of 'ElectricallyActiveCell'?, \nFalse
Can Osteocyte be considered a subcategory of 'StructuralCell'?, \nTrue
Can Osteocyte be considered a subcategory of 'MatureCell that is also StructuralCell'?, \nFalse
Can Osteocyte be considered a subcategory of 'Neuron'?, \nFalse
Can Osteocyte be considered a subcategory of 'ChondroCyte'?, \nFalse
Can MatureCell that is also MioBlast be considered a subcategory of 'CirculatingCell'?, \nFalse
Can ElectricallyActiveCell that is also PlantCell be considered a subcategory of 'Cell'?, \nFalse
Can ChondroBlast that is also Neuron be considered a subcategory of 'StructuralCell'?, \nFalse
Can ChondroBlast that is also SclerenchymaCell be considered a subcategory of 'StructuralCell'?, \nFalse
Can Erythrocyte that is also StructuralCell be considered a subcategory of 'CirculatingCell'?, \nTrue
Can Erythrocyte that is also StructuralCell be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can Erythrocyte that is also StructuralCell be considered a subcategory of 'LeafCell'?, \nFalse
Can Erythrocyte that is also StructuralCell be considered a subcategory of 'PhotosyntheticCell'?, \nFalse
Can Erythrocyte be considered a subcategory of 'CirculatingCell'?, \nTrue
Can Erythrocyte be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can Erythrocyte be considered a subcategory of 'LeafCell'?, \nFalse
Can Erythrocyte be considered a subcategory of 'PhotosyntheticCell'?, \nFalse
Can Erythrocyte be considered a subcategory of 'PlantCell'?, \nFalse
Can Erythrocyte be considered a subcategory of 'CellByClass'?, \nFalse
Can Erythrocyte be considered a subcategory of 'MatureCell'?, \nFalse
Can Erythrocyte be considered a subcategory of 'AnimalCell'?, \nFalse
Can Erythrocyte be considered a subcategory of 'Cell'?, \nTrue
Can Erythrocyte be considered a subcategory of 'Cell that is also CirculatingCell'?, \nTrue
Can Erythrocyte be considered a subcategory of 'Miocyte'?, \nFalse
Can Erythrocyte be considered a subcategory of 'InMatureCell'?, \nFalse
Can Erythrocyte be considered a subcategory of 'Osteocyte'?, \nFalse
Can Erythrocyte be considered a subcategory of 'ChondroBlast'?, \nFalse
Can Erythrocyte be considered a subcategory of 'MioBlast'?, \nFalse
Can Erythrocyte be considered a subcategory of 'CellByDevelopmentStage'?, \nFalse
Can Erythrocyte be considered a subcategory of 'PhotoreceptorCell'?, \nFalse
Can Erythrocyte be considered a subcategory of 'CellByOrganism'?, \nFalse
Can Erythrocyte be considered a subcategory of 'ElectricallyActiveCell'?, \nFalse
Can Erythrocyte be considered a subcategory of 'StructuralCell'?, \nFalse
Can Erythrocyte be considered a subcategory of 'Neuron'?, \nFalse
Can Erythrocyte be considered a subcategory of 'ChondroCyte'?, \nFalse
Can AnimalCell be considered a subcategory of 'Cell'?, \nTrue
Can AnimalCell be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can AnimalCell be considered a subcategory of 'LeafCell'?, \nFalse
Can AnimalCell be considered a subcategory of 'Erythrocyte'?, \nFalse
Can AnimalCell be considered a subcategory of 'PhotosyntheticCell'?, \nFalse
Can AnimalCell be considered a subcategory of 'CirculatingCell'?, \nFalse
Can AnimalCell be considered a subcategory of 'PlantCell'?, \nFalse
Can AnimalCell be considered a subcategory of 'CellByClass'?, \nFalse
Can AnimalCell be considered a subcategory of 'MatureCell'?, \nFalse
Can AnimalCell be considered a subcategory of 'Miocyte'?, \nFalse
Can AnimalCell be considered a subcategory of 'InMatureCell'?, \nFalse
Can AnimalCell be considered a subcategory of 'Osteocyte'?, \nFalse
Can AnimalCell be considered a subcategory of 'ChondroBlast'?, \nFalse
Can AnimalCell be considered a subcategory of 'MioBlast'?, \nFalse
Can AnimalCell be considered a subcategory of 'CellByDevelopmentStage'?, \nFalse
Can AnimalCell be considered a subcategory of 'PhotoreceptorCell'?, \nFalse
Can AnimalCell be considered a subcategory of 'CellByOrganism'?, \nFalse
Can AnimalCell be considered a subcategory of 'ElectricallyActiveCell'?, \nFalse
Can AnimalCell be considered a subcategory of 'StructuralCell'?, \nFalse
Can AnimalCell be considered a subcategory of 'Neuron'?, \nFalse
Can AnimalCell be considered a subcategory of 'ChondroCyte'?, \nFalse
Can ElectricallyActiveCell that is also LeafCell be considered a subcategory of 'Cell'?, \nTrue
Can ElectricallyActiveCell that is also LeafCell be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can ElectricallyActiveCell that is also LeafCell be considered a subcategory of 'Erythrocyte'?, \nFalse
Can ElectricallyActiveCell that is also LeafCell be considered a subcategory of 'CirculatingCell'?, \nFalse
Can ElectricallyActiveCell that is also LeafCell be considered a subcategory of 'CellByClass'?, \nFalse
Can ElectricallyActiveCell that is also LeafCell be considered a subcategory of 'MatureCell'?, \nFalse
Can ElectricallyActiveCell that is also LeafCell be considered a subcategory of 'AnimalCell'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'Cell'?, \nTrue
Can ElectricallyActiveCell be considered a subcategory of 'LeafCell'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'Erythrocyte'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'PhotosyntheticCell'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'CirculatingCell'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'PlantCell'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'CellByClass'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'MatureCell'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'AnimalCell'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'Miocyte'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'InMatureCell'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'Osteocyte'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'ChondroBlast'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'MioBlast'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'CellByDevelopmentStage'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'PhotoreceptorCell'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'CellByOrganism'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'StructuralCell'?, \nTrue
Can ElectricallyActiveCell be considered a subcategory of 'Cell that is also StructuralCell'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'Neuron'?, \nFalse
Can ElectricallyActiveCell be considered a subcategory of 'ChondroCyte'?, \nFalse
Can CellByDevelopmentStage that is also PhotoreceptorCell be considered a subcategory of 'MatureCell'?, \nTrue
Can CellByDevelopmentStage that is also PhotoreceptorCell be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can CellByDevelopmentStage that is also PhotoreceptorCell be considered a subcategory of 'LeafCell'?, \nTrue
Can CellByDevelopmentStage be considered a subcategory of 'LeafCell'?, \nFalse
Can PhotoreceptorCell be considered a subcategory of 'LeafCell'?, \nFalse
Can InMatureCell that is also PlantCell be considered a subcategory of 'CellByClass'?, \nTrue
Can InMatureCell that is also PlantCell be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can InMatureCell that is also PlantCell be considered a subcategory of 'LeafCell'?, \nFalse
Can InMatureCell that is also PlantCell be considered a subcategory of 'Erythrocyte'?, \nFalse
Can InMatureCell that is also PlantCell be considered a subcategory of 'PhotosyntheticCell'?, \nTrue
Can InMatureCell be considered a subcategory of 'PhotosyntheticCell'?, \nFalse
Can PlantCell be considered a subcategory of 'PhotosyntheticCell'?, \nTrue
Can PlantCell be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can PlantCell be considered a subcategory of 'Erythrocyte'?, \nFalse
Can PlantCell be considered a subcategory of 'CirculatingCell'?, \nFalse
Can PlantCell be considered a subcategory of 'CellByClass'?, \nFalse
Can PlantCell be considered a subcategory of 'MatureCell'?, \nFalse
Can PlantCell be considered a subcategory of 'AnimalCell'?, \nFalse
Can PlantCell be considered a subcategory of 'Cell'?, \nTrue
Can PlantCell be considered a subcategory of 'Cell that is also PhotosyntheticCell'?, \nFalse
Can PlantCell be considered a subcategory of 'Miocyte'?, \nFalse
Can PlantCell be considered a subcategory of 'InMatureCell'?, \nFalse
Can PlantCell be considered a subcategory of 'Osteocyte'?, \nFalse
Can PlantCell be considered a subcategory of 'ChondroBlast'?, \nFalse
Can PlantCell be considered a subcategory of 'MioBlast'?, \nFalse
Can PlantCell be considered a subcategory of 'CellByDevelopmentStage'?, \nFalse
Can PlantCell be considered a subcategory of 'PhotoreceptorCell'?, \nFalse
Can PlantCell be considered a subcategory of 'CellByOrganism'?, \nTrue
Can PlantCell be considered a subcategory of 'CellByOrganism that is also PhotosyntheticCell'?, \nTrue
Can PlantCell be considered a subcategory of 'ElectricallyActiveCell'?, \nFalse
Can PlantCell be considered a subcategory of 'StructuralCell'?, \nFalse
Can PlantCell be considered a subcategory of 'Neuron'?, \nFalse
Can PlantCell be considered a subcategory of 'ChondroCyte'?, \nFalse
Can PlantCell be considered a subcategory of 'Cell that is also CellByOrganism that is also PhotosyntheticCell'?, \nTrue
Can CellByOrganism that is also PhotoreceptorCell be considered a subcategory of 'ChondroBlast'?, \nFalse
Can AnimalCell that is also ElectricallyActiveCell be considered a subcategory of 'MatureCell'?, \nTrue
Can AnimalCell that is also ElectricallyActiveCell be considered a subcategory of 'LeafCell'?, \nTrue
Can Cell that is also PhotosyntheticCell be considered a subcategory of 'MatureCell'?, \nFalse
Can StructuralCell be considered a subcategory of 'PlantCell'?, \nFalse
Can CirculatingCell that is also Neuron be considered a subcategory of 'PhotosyntheticCell'?, \nFalse
Can MioBlast that is also StructuralCell be considered a subcategory of 'InMatureCell'?, \nFalse
Can LeafCell that is also MioBlast be considered a subcategory of 'Miocyte'?, \nTrue
Can LeafCell that is also MioBlast be considered a subcategory of 'Erythrocyte'?, \nFalse
Can LeafCell that is also MioBlast be considered a subcategory of 'CirculatingCell'?, \nTrue
Can MioBlast be considered a subcategory of 'CirculatingCell'?, \nFalse
Can ElectricallyActiveCell that is also MatureCell be considered a subcategory of 'InMatureCell'?, \nFalse
Can ChondroBlast that is also MatureCell be considered a subcategory of 'PlantCell'?, \nFalse
Can AnimalCell that is also PhotoreceptorCell be considered a subcategory of 'Miocyte'?, \nFalse
Can ChondroCyte that is also Erythrocyte be considered a subcategory of 'Miocyte'?, \nFalse
Can CellByDevelopmentStage that is also ElectricallyActiveCell be considered a subcategory of 'Miocyte'?, \nFalse
Can CellByOrganism that is also ElectricallyActiveCell be considered a subcategory of 'PlantCell'?, \nTrue
Can CellByOrganism that is also ElectricallyActiveCell be considered a subcategory of 'LeafCell'?, \nTrue
Can CellByOrganism be considered a subcategory of 'LeafCell'?, \nFalse
Can PhotoreceptorCell that is also PhotosyntheticCell be considered a subcategory of 'StructuralCell'?, \nFalse
Can CellByOrganism that is also MatureCell be considered a subcategory of 'ChondroCyte'?, \nFalse
Can ChondroBlast that is also Osteocyte be considered a subcategory of 'ElectricallyActiveCell'?, \nFalse
Can CirculatingCell that is also LeafCell be considered a subcategory of 'ElectricallyActiveCell'?, \nFalse
Can ChondroBlast that is also MatureCell be considered a subcategory of 'SclerenchymaCell'?, \nTrue
Can ChondroBlast be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can MatureCell be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can ChondroCyte that is also PhotosyntheticCell be considered a subcategory of 'PhotoreceptorCell'?, \nTrue
Can ChondroCyte that is also PhotosyntheticCell be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can ChondroCyte that is also PhotosyntheticCell be considered a subcategory of 'LeafCell'?, \nTrue
Can PhotosyntheticCell be considered a subcategory of 'LeafCell'?, \nTrue
Can PhotosyntheticCell be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can PhotosyntheticCell be considered a subcategory of 'Erythrocyte'?, \nFalse
Can PhotosyntheticCell be considered a subcategory of 'CirculatingCell'?, \nFalse
Can PhotosyntheticCell be considered a subcategory of 'PlantCell'?, \nTrue
Can PhotosyntheticCell be considered a subcategory of 'LeafCell that is also PlantCell'?, \nFalse
Can PhotosyntheticCell be considered a subcategory of 'CellByClass'?, \nFalse
Can PhotosyntheticCell be considered a subcategory of 'MatureCell'?, \nFalse
Can PhotosyntheticCell be considered a subcategory of 'AnimalCell'?, \nFalse
Can PhotosyntheticCell be considered a subcategory of 'Cell'?, \nFalse
Can PhotosyntheticCell be considered a subcategory of 'Miocyte'?, \nFalse
Can PhotosyntheticCell be considered a subcategory of 'InMatureCell'?, \nFalse
Can PhotosyntheticCell be considered a subcategory of 'Osteocyte'?, \nFalse
Can PhotosyntheticCell be considered a subcategory of 'ChondroBlast'?, \nFalse
Can PhotosyntheticCell be considered a subcategory of 'MioBlast'?, \nFalse
Can PhotosyntheticCell be considered a subcategory of 'CellByDevelopmentStage'?, \nFalse
Can PhotosyntheticCell be considered a subcategory of 'PhotoreceptorCell'?, \nFalse
Can PhotosyntheticCell be considered a subcategory of 'CellByOrganism'?, \nFalse
Can PhotosyntheticCell be considered a subcategory of 'ElectricallyActiveCell'?, \nFalse
Can PhotosyntheticCell be considered a subcategory of 'StructuralCell'?, \nFalse
Can PhotosyntheticCell be considered a subcategory of 'Neuron'?, \nFalse
Can PhotosyntheticCell be considered a subcategory of 'ChondroCyte'?, \nFalse
Can SclerenchymaCell be considered a subcategory of 'PhotoreceptorCell'?, \nFalse
Can CellByDevelopmentStage that is also ChondroCyte be considered a subcategory of 'SclerenchymaCell'?, \nTrue
Can CellByDevelopmentStage be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can ChondroCyte be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can ChondroCyte that is also CirculatingCell be considered a subcategory of 'SclerenchymaCell'?, \nTrue
Can CirculatingCell be considered a subcategory of 'SclerenchymaCell'?, \nTrue
Can CirculatingCell be considered a subcategory of 'Erythrocyte'?, \nFalse
Can CirculatingCell be considered a subcategory of 'PhotosyntheticCell'?, \nFalse
Can CirculatingCell be considered a subcategory of 'PlantCell'?, \nFalse
Can CirculatingCell be considered a subcategory of 'CellByClass'?, \nFalse
Can CirculatingCell be considered a subcategory of 'MatureCell'?, \nFalse
Can CirculatingCell be considered a subcategory of 'AnimalCell'?, \nFalse
Can CirculatingCell be considered a subcategory of 'Cell'?, \nTrue
Can CirculatingCell be considered a subcategory of 'Cell that is also SclerenchymaCell'?, \nTrue
Can CirculatingCell be considered a subcategory of 'Miocyte'?, \nFalse
Can CirculatingCell be considered a subcategory of 'InMatureCell'?, \nFalse
Can CirculatingCell be considered a subcategory of 'Osteocyte'?, \nFalse
Can CirculatingCell be considered a subcategory of 'ChondroBlast'?, \nFalse
Can CirculatingCell be considered a subcategory of 'MioBlast'?, \nFalse
Can CirculatingCell be considered a subcategory of 'CellByDevelopmentStage'?, \nFalse
Can CirculatingCell be considered a subcategory of 'PhotoreceptorCell'?, \nFalse
Can CirculatingCell be considered a subcategory of 'CellByOrganism'?, \nFalse
Can CirculatingCell be considered a subcategory of 'ElectricallyActiveCell'?, \nFalse
Can CirculatingCell be considered a subcategory of 'StructuralCell'?, \nFalse
Can CirculatingCell be considered a subcategory of 'Neuron'?, \nFalse
Can CirculatingCell be considered a subcategory of 'ChondroCyte'?, \nFalse
