Neuron and StructuralCell SubClassOf Erythrocyte, True
Erythrocyte SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CirculatingCell and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and SclerenchymaCell, \nTrue
Erythrocyte SubClassOf PhotoreceptorCell, True
Erythrocyte SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CirculatingCell and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
Erythrocyte SubClassOf CellByOrganism, True
Erythrocyte SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and CirculatingCell and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
Erythrocyte SubClassOf ElectricallyActiveCell, True
Erythrocyte SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and CirculatingCell and ElectricallyActiveCell and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
Erythrocyte SubClassOf StructuralCell, True
Erythrocyte SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and CirculatingCell and ElectricallyActiveCell and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and SclerenchymaCell and StructuralCell, \nTrue
Erythrocyte SubClassOf Neuron, \nTrue
Erythrocyte SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and CirculatingCell and ElectricallyActiveCell and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and SclerenchymaCell and StructuralCell, True.
Erythrocyte SubClassOf ChondroCyte, \nFalse
Erythrocyte SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and CirculatingCell and ElectricallyActiveCell and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and SclerenchymaCell and StructuralCell, \nHere
Neuron and PhotoreceptorCell SubClassOf Miocyte, True
Neuron and PhotoreceptorCell SubClassOf SclerenchymaCell, True
PhotoreceptorCell SubClassOf SclerenchymaCell, True
PhotoreceptorCell SubClassOf LeafCell, True
PhotoreceptorCell SubClassOf LeafCell and SclerenchymaCell, \nTrue
PhotoreceptorCell SubClassOf Erythrocyte, True
PhotoreceptorCell SubClassOf Erythrocyte and LeafCell and SclerenchymaCell, \nTrue
PhotoreceptorCell SubClassOf PhotosyntheticCell, True
PhotoreceptorCell SubClassOf Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, True
PhotoreceptorCell SubClassOf CirculatingCell, True
PhotoreceptorCell SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, True
PhotoreceptorCell SubClassOf PlantCell, False
PhotoreceptorCell SubClassOf CellByClass, True
PhotoreceptorCell SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, True
PhotoreceptorCell SubClassOf MatureCell, True
PhotoreceptorCell SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
PhotoreceptorCell SubClassOf AnimalCell, \nTrue
PhotoreceptorCell SubClassOf AnimalCell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
PhotoreceptorCell SubClassOf Cell, True
PhotoreceptorCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
PhotoreceptorCell SubClassOf Miocyte, \nTrue
PhotoreceptorCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and SclerenchymaCell, \nTrue
PhotoreceptorCell SubClassOf InMatureCell, \nTrue
PhotoreceptorCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and SclerenchymaCell, \nTrue
PhotoreceptorCell SubClassOf Osteocyte, True
PhotoreceptorCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and SclerenchymaCell, \nTrue
PhotoreceptorCell SubClassOf ChondroBlast, \nTrue
PhotoreceptorCell SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and SclerenchymaCell, \nTrue
PhotoreceptorCell SubClassOf MioBlast, True
PhotoreceptorCell SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and SclerenchymaCell, \nTrue
PhotoreceptorCell SubClassOf CellByDevelopmentStage, True
PhotoreceptorCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and SclerenchymaCell, \nHere
PhotoreceptorCell SubClassOf CellByOrganism, True
PhotoreceptorCell SubClassOf AnimalCell and Cell and CellByClass and CellByOrganism and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and SclerenchymaCell, \nTrue
PhotoreceptorCell SubClassOf ElectricallyActiveCell, True
PhotoreceptorCell SubClassOf AnimalCell and Cell and CellByClass and CellByOrganism and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and SclerenchymaCell, \nHere
PhotoreceptorCell SubClassOf StructuralCell, True
PhotoreceptorCell SubClassOf AnimalCell and Cell and CellByClass and CellByOrganism and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and SclerenchymaCell and StructuralCell, \nTrue
PhotoreceptorCell SubClassOf Neuron, True
PhotoreceptorCell SubClassOf AnimalCell and Cell and CellByClass and CellByOrganism and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotosyntheticCell and SclerenchymaCell and StructuralCell, \nTrue
PhotoreceptorCell SubClassOf ChondroCyte, True
PhotoreceptorCell SubClassOf AnimalCell and Cell and CellByClass and CellByOrganism and ChondroBlast and ChondroCyte and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotosyntheticCell and SclerenchymaCell and StructuralCell, True.
PhotoreceptorCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and ChondroCyte and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotosyntheticCell and SclerenchymaCell and StructuralCell, \nHere
PhotoreceptorCell SubClassOf AnimalCell and Cell and CellByClass and CellByOrganism and ChondroBlast and ChondroCyte and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotosyntheticCell and SclerenchymaCell and StructuralCell, \nTrue
CellByClass SubClassOf MioBlast, True
CellByClass SubClassOf SclerenchymaCell, True
CellByClass SubClassOf LeafCell, True
CellByClass SubClassOf LeafCell and SclerenchymaCell, True
CellByClass SubClassOf Erythrocyte, True
CellByClass SubClassOf Erythrocyte and LeafCell and SclerenchymaCell, True
CellByClass SubClassOf PhotosyntheticCell, True
CellByClass SubClassOf Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, True
CellByClass SubClassOf CirculatingCell, \nTrue
CellByClass SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
CellByClass SubClassOf PlantCell, True
CellByClass SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByClass SubClassOf MatureCell, True
CellByClass SubClassOf CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, True
CellByClass SubClassOf AnimalCell, True
CellByClass SubClassOf AnimalCell and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, True
CellByClass SubClassOf Cell, True
CellByClass SubClassOf AnimalCell and Cell and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, True
CellByClass SubClassOf Miocyte, True
CellByClass SubClassOf AnimalCell and Cell and CirculatingCell and Erythrocyte and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, True
CellByClass SubClassOf InMatureCell, True
CellByClass SubClassOf AnimalCell and Cell and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, True
CellByClass SubClassOf Osteocyte, True
CellByClass SubClassOf AnimalCell and Cell and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByClass SubClassOf ChondroBlast, True
CellByClass SubClassOf AnimalCell and Cell and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, True
CellByClass SubClassOf AnimalCell and Cell and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByClass SubClassOf CellByDevelopmentStage, True
CellByClass SubClassOf AnimalCell and Cell and CellByDevelopmentStage and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByClass SubClassOf PhotoreceptorCell, True
CellByClass SubClassOf AnimalCell and Cell and CellByDevelopmentStage and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByClass SubClassOf CellByOrganism, True
CellByClass SubClassOf AnimalCell and Cell and CellByDevelopmentStage and CellByOrganism and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByClass SubClassOf ElectricallyActiveCell, \nFalse
CellByClass SubClassOf StructuralCell, True
CellByClass SubClassOf AnimalCell and Cell and CellByDevelopmentStage and CellByOrganism and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
CellByClass SubClassOf Neuron, True
CellByClass SubClassOf AnimalCell and Cell and CellByDevelopmentStage and CellByOrganism and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nHere
CellByClass SubClassOf ChondroCyte, True
CellByClass SubClassOf AnimalCell and Cell and CellByDevelopmentStage and CellByOrganism and ChondroBlast and ChondroCyte and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
CellByClass SubClassOf AnimalCell and Cell and CellByDevelopmentStage and CellByOrganism and ChondroBlast and ChondroCyte and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nHere
MatureCell and Neuron SubClassOf PlantCell, True
MatureCell and Neuron SubClassOf SclerenchymaCell, \nTrue
MatureCell SubClassOf SclerenchymaCell, True
MatureCell SubClassOf LeafCell, True
MatureCell SubClassOf LeafCell and SclerenchymaCell, True
MatureCell SubClassOf Erythrocyte, True
MatureCell SubClassOf Erythrocyte and LeafCell and SclerenchymaCell, True
MatureCell SubClassOf PhotosyntheticCell, True
MatureCell SubClassOf Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, True
MatureCell SubClassOf CirculatingCell, True
MatureCell SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, True
MatureCell SubClassOf PlantCell, True
MatureCell SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
MatureCell SubClassOf CellByClass, \nTrue
MatureCell SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
MatureCell SubClassOf AnimalCell, True
MatureCell SubClassOf AnimalCell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, True
MatureCell SubClassOf Cell, True
MatureCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
MatureCell SubClassOf Miocyte, True
MatureCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
MatureCell SubClassOf InMatureCell, True
MatureCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
MatureCell SubClassOf Osteocyte, True
MatureCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
MatureCell SubClassOf ChondroBlast, True
MatureCell SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
MatureCell SubClassOf MioBlast, True
MatureCell SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
MatureCell SubClassOf CellByDevelopmentStage, True
MatureCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
MatureCell SubClassOf PhotoreceptorCell, True
MatureCell SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
MatureCell SubClassOf CellByOrganism, \nTrue
MatureCell SubClassOf AnimalCell and Cell and CellByClass and CellByOrganism and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
MatureCell SubClassOf ElectricallyActiveCell, True
MatureCell SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
MatureCell SubClassOf StructuralCell, True
MatureCell SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
MatureCell SubClassOf Neuron, True
MatureCell SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
MatureCell SubClassOf ChondroCyte, True
MatureCell SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and ChondroCyte and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
MatureCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and ChondroCyte and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
MatureCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and ChondroCyte and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
MatureCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and ChondroCyte and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nHere
MatureCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and ChondroCyte and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nHere
Can Neuron that is also StructuralCell be considered a subcategory of 'Erythrocyte'?, \nFalse
Can ElectricallyActiveCell that is also StructuralCell be considered a subcategory of 'Erythrocyte'?, True
Can ElectricallyActiveCell that is also StructuralCell be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can ElectricallyActiveCell that is also StructuralCell be considered a subcategory of 'LeafCell'?, True
Can ElectricallyActiveCell be considered a subcategory of 'LeafCell'?, \nFalse
Can StructuralCell be considered a subcategory of 'LeafCell'?, \nFalse
Can CellByDevelopmentStage that is also InMatureCell be considered a subcategory of 'Osteocyte'?, True
Can CellByDevelopmentStage that is also InMatureCell be considered a subcategory of 'SclerenchymaCell'?, True
Can InMatureCell be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can CellByDevelopmentStage be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can Miocyte that is also StructuralCell be considered a subcategory of 'LeafCell'?, True
Can Miocyte that is also StructuralCell be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can Miocyte be considered a subcategory of 'LeafCell'?, \nFalse
Can CellByDevelopmentStage that is also LeafCell be considered a subcategory of 'AnimalCell'?, \nFalse
Can CellByDevelopmentStage that is also ChondroBlast be considered a subcategory of 'Osteocyte'?, False
Can Cell that is also MatureCell be considered a subcategory of 'Osteocyte'?, \nTrue
Can Cell that is also MatureCell be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can Cell that is also MatureCell be considered a subcategory of 'LeafCell'?, \nFalse
Can Cell that is also MatureCell be considered a subcategory of 'Erythrocyte'?, True
Can Cell be considered a subcategory of 'Erythrocyte'?, \nFalse
Can MatureCell be considered a subcategory of 'Erythrocyte'?, \nTrue
Can MatureCell be considered a subcategory of 'SclerenchymaCell'?, True
Can MatureCell be considered a subcategory of 'Erythrocyte that is also SclerenchymaCell'?, \nFalse
Can MatureCell be considered a subcategory of 'LeafCell'?, True
Can MatureCell be considered a subcategory of 'Erythrocyte that is also LeafCell'?, False
Can MatureCell be considered a subcategory of 'PhotosyntheticCell'?, True
Can MatureCell be considered a subcategory of 'Erythrocyte that is also PhotosyntheticCell'?, True
Can MatureCell be considered a subcategory of 'CirculatingCell'?, True
Can MatureCell be considered a subcategory of 'CirculatingCell that is also Erythrocyte that is also PhotosyntheticCell'?, False
Can MatureCell be considered a subcategory of 'PlantCell'?, True
Can MatureCell be considered a subcategory of 'Erythrocyte that is also PhotosyntheticCell that is also PlantCell'?, False
Can MatureCell be considered a subcategory of 'CellByClass'?, \nFalse
Can MatureCell be considered a subcategory of 'AnimalCell'?, \nFalse
Can MatureCell be considered a subcategory of 'Cell'?, True
Can MatureCell be considered a subcategory of 'Cell that is also Erythrocyte that is also PhotosyntheticCell'?, \nFalse
Can MatureCell be considered a subcategory of 'Miocyte'?, True
Can MatureCell be considered a subcategory of 'Erythrocyte that is also Miocyte that is also PhotosyntheticCell'?, \nFalse
Can MatureCell be considered a subcategory of 'InMatureCell'?, \nTrue
Can MatureCell be considered a subcategory of 'Erythrocyte that is also InMatureCell that is also PhotosyntheticCell'?, \nFalse
Can MatureCell be considered a subcategory of 'Osteocyte'?, \nFalse
Can MatureCell be considered a subcategory of 'ChondroBlast'?, \nFalse
Can MatureCell be considered a subcategory of 'MioBlast'?, \nFalse
Can MatureCell be considered a subcategory of 'CellByDevelopmentStage'?, \nFalse
Can MatureCell be considered a subcategory of 'PhotoreceptorCell'?, \nFalse
Can MatureCell be considered a subcategory of 'CellByOrganism'?, \nFalse
Can MatureCell be considered a subcategory of 'ElectricallyActiveCell'?, \nFalse
Can MatureCell be considered a subcategory of 'StructuralCell'?, True
Can MatureCell be considered a subcategory of 'Erythrocyte that is also PhotosyntheticCell that is also StructuralCell'?, \nFalse
Can MatureCell be considered a subcategory of 'Neuron'?, \nTrue
Can MatureCell be considered a subcategory of 'Erythrocyte that is also Neuron that is also PhotosyntheticCell'?, False
Can MatureCell be considered a subcategory of 'ChondroCyte'?, \nFalse
Can MatureCell be considered a subcategory of 'Erythrocyte that is also PhotosyntheticCell that is also SclerenchymaCell'?, \nFalse
Can MatureCell be considered a subcategory of 'Erythrocyte that is also LeafCell that is also PhotosyntheticCell'?, \nFalse
Can CellByClass that is also InMatureCell be considered a subcategory of 'AnimalCell'?, \nFalse
Can ChondroCyte that is also LeafCell be considered a subcategory of 'Neuron'?, \nFalse
Can CirculatingCell that is also LeafCell be considered a subcategory of 'Neuron'?, \nFalse
Can CellByOrganism that is also ChondroCyte be considered a subcategory of 'AnimalCell'?, \nFalse
Can Osteocyte that is also SclerenchymaCell be considered a subcategory of 'AnimalCell'?, \nFalse
Can InMatureCell that is also Miocyte be considered a subcategory of 'PhotosyntheticCell'?, \nFalse
Can Cell that is also StructuralCell be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can InMatureCell that is also StructuralCell be considered a subcategory of 'ChondroCyte'?, \nFalse
Can AnimalCell that is also InMatureCell be considered a subcategory of 'ChondroCyte'?, \nFalse
Can CellByClass that is also ChondroBlast be considered a subcategory of 'ElectricallyActiveCell'?, True
Can CellByClass that is also ChondroBlast be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can CellByClass that is also ChondroBlast be considered a subcategory of 'LeafCell'?, \nFalse
Can CellByClass that is also ChondroBlast be considered a subcategory of 'Erythrocyte'?, \nFalse
Can CellByClass that is also ChondroBlast be considered a subcategory of 'PhotosyntheticCell'?, True
Can ChondroBlast be considered a subcategory of 'PhotosyntheticCell'?, \nFalse
Can CellByClass be considered a subcategory of 'PhotosyntheticCell'?, True
Can CellByClass be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can CellByClass be considered a subcategory of 'LeafCell'?, \nFalse
Can CellByClass be considered a subcategory of 'Erythrocyte'?, True
Can CellByClass be considered a subcategory of 'Erythrocyte that is also PhotosyntheticCell'?, False
Can CellByClass be considered a subcategory of 'CirculatingCell'?, True
Can CellByClass be considered a subcategory of 'CirculatingCell that is also PhotosyntheticCell'?, \nFalse
Can CellByClass be considered a subcategory of 'PlantCell'?, \nFalse
Can CellByClass be considered a subcategory of 'MatureCell'?, \nFalse
Can CellByClass be considered a subcategory of 'AnimalCell'?, True
Can CellByClass be considered a subcategory of 'AnimalCell that is also PhotosyntheticCell'?, \nFalse
Can CellByClass be considered a subcategory of 'Cell'?, \nFalse
Can CellByClass be considered a subcategory of 'Miocyte'?, \nFalse
Can CellByClass be considered a subcategory of 'InMatureCell'?, \nFalse
Can CellByClass be considered a subcategory of 'Osteocyte'?, True
Can CellByClass be considered a subcategory of 'Osteocyte that is also PhotosyntheticCell'?, \nFalse
Can CellByClass be considered a subcategory of 'ChondroBlast'?, \nFalse
Can CellByClass be considered a subcategory of 'MioBlast'?, \nFalse
Can CellByClass be considered a subcategory of 'CellByDevelopmentStage'?, \nFalse
Can CellByClass be considered a subcategory of 'PhotoreceptorCell'?, \nFalse
Can CellByClass be considered a subcategory of 'CellByOrganism'?, \nFalse
Can CellByClass be considered a subcategory of 'ElectricallyActiveCell'?, \nFalse
Can CellByClass be considered a subcategory of 'StructuralCell'?, \nFalse
Can CellByClass be considered a subcategory of 'Neuron'?, True
Can CellByClass be considered a subcategory of 'Neuron that is also PhotosyntheticCell'?, \nFalse
Can CellByClass be considered a subcategory of 'ChondroCyte'?, \nFalse
Can CellByDevelopmentStage that is also Miocyte be considered a subcategory of 'SclerenchymaCell'?, True
Can Miocyte be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can InMatureCell that is also StructuralCell be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can Cell that is also PhotoreceptorCell be considered a subcategory of 'ElectricallyActiveCell'?, \nFalse
Can CirculatingCell that is also SclerenchymaCell be considered a subcategory of 'LeafCell'?, \nFalse
Can LeafCell that is also PhotosyntheticCell be considered a subcategory of 'PhotoreceptorCell'?, \nFalse
Can CellByDevelopmentStage that is also Osteocyte be considered a subcategory of 'PhotoreceptorCell'?, \nFalse
Can ChondroCyte be considered a subcategory of 'PhotoreceptorCell'?, \nFalse
Can Neuron that is also PlantCell be considered a subcategory of 'LeafCell'?, True
Can Neuron that is also PlantCell be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can PlantCell be considered a subcategory of 'LeafCell'?, True
Can PlantCell be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can PlantCell be considered a subcategory of 'Erythrocyte'?, \nFalse
Can PlantCell be considered a subcategory of 'PhotosyntheticCell'?, \nTrue
Can PlantCell be considered a subcategory of 'LeafCell that is also PhotosyntheticCell'?, True
Can PlantCell be considered a subcategory of 'CirculatingCell'?, True
Can PlantCell be considered a subcategory of 'CirculatingCell that is also LeafCell that is also PhotosyntheticCell'?, \nFalse
Can PlantCell be considered a subcategory of 'CellByClass'?, \nFalse
Can PlantCell be considered a subcategory of 'MatureCell'?, \nFalse
Can PlantCell be considered a subcategory of 'AnimalCell'?, True
